hypothesis_id,title,subtitle,card_path,providers,total_impact
H0328,H0328 — Claims per bene > 3x peer median for 99215 (Code 99215),"Top 20 flagged providers · 61 total · $13,973,603 estimated exposure",output/cards/hypotheses/H0328.png,61,13973602.79
H0329,H0329 — Claims per bene > 3x peer median for T2025 (Waiver services; not...),"Top 20 flagged providers · 145 total · $2,750,446,718 estimated exposure",output/cards/hypotheses/H0329.png,145,2750446718.0300007
H0330,H0330 — Claims per bene > 3x peer median for 99212 (Code 99212),"Top 20 flagged providers · 72 total · $5,059,911 estimated exposure",output/cards/hypotheses/H0330.png,72,5059911.43
H0331,"H0331 — Claims per bene > 3x peer median for T1020 (Personal care services, per...)","Top 20 flagged providers · 1 total · $4,451,305 estimated exposure",output/cards/hypotheses/H0331.png,1,4451305.32
H0332,H0332 — Claims per bene > 3x peer median for H2015 (Comprehensive community...),"Top 20 flagged providers · 500 total · $3,566,477,829 estimated exposure",output/cards/hypotheses/H0332.png,500,3566477828.9900007
H0333,H0333 — Claims per bene > 3x peer median for H2016 (Comprehensive community...),"Top 20 flagged providers · 467 total · $10,893,820,087 estimated exposure",output/cards/hypotheses/H0333.png,467,10893820086.59
H0334,H0334 — Claims per bene > 3x peer median for 99203 (Code 99203),"Top 20 flagged providers · 11 total · $313,358 estimated exposure",output/cards/hypotheses/H0334.png,11,313358.02
H0335,H0335 — Claims per bene > 3x peer median for 99204 (Code 99204),"Top 20 flagged providers · 8 total · $1,665,730 estimated exposure",output/cards/hypotheses/H0335.png,8,1665729.55
H0336,H0336 — Claims per bene > 3x peer median for 99202 (Code 99202),"Top 20 flagged providers · 6 total · $2,176,269 estimated exposure",output/cards/hypotheses/H0336.png,6,2176268.63
H0337,H0337 — Claims per bene > 3x peer median for 99211 (Code 99211),"Top 20 flagged providers · 204 total · $92,766,737 estimated exposure",output/cards/hypotheses/H0337.png,204,92766737.11000001
H0338,H0338 — Claims per bene > 3x peer median for T2024 (Service assessment/plan of...),"Top 20 flagged providers · 21 total · $16,420,264 estimated exposure",output/cards/hypotheses/H0338.png,21,16420264.5
H0339,H0339 — Claims per bene > 3x peer median for 97110 (Code 97110),"Top 20 flagged providers · 500 total · $173,518,625 estimated exposure",output/cards/hypotheses/H0339.png,500,173518625.34
H0340,H0340 — Claims per bene > 3x peer median for 97530 (Code 97530),"Top 20 flagged providers · 500 total · $188,117,744 estimated exposure",output/cards/hypotheses/H0340.png,500,188117743.97
H0341,"H0341 — Provider exceeds state-level 95th percentile for T1019 (Personal care services,...","Top 20 flagged providers · 452 total · $1,475,943,447 estimated exposure",output/cards/hypotheses/H0341.png,452,1475943446.52
