row_number,reason,raw_row
20551,servicing_npi,1477628758|A423525800|S5140|2021-10|234|8037|2317952.33
20626,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-06|2756|2770|2310517.29
20999,servicing_npi,1306912282|A423525800|S5140|2022-05|219|6780|2277885.40
21014,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-11|666|33881|2276751.37
21230,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-04|673|33880|2258122.43
21332,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-01|645|33965|2250215.31
21538,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-03|668|33825|2233021.82
21551,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-12|624|35145|2231885.07
21607,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-10|2351|25237|2227202.42
21899,servicing_npi,1306912282|A423525800|S5140|2022-06|217|6330|2204421.65
21977,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-09|2381|2391|2199328.21
22146,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-01|696|41120|2185751.43
22274,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-08|237|6761|2175876.06
22469,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-01|251|7897|2160324.95
22511,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-01|690|13568|2157348.63
22599,servicing_npi,1306912282|A423525800|S5140|2022-04|221|6866|2149365.74
22767,servicing_npi,1447348172|A014968200|H2014|2018-05|319|6854|2135612.93
22962,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-12|748|37611|2124003.73
23043,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-07|231|6685|2118572.66
23180,billing_npi;servicing_npi,A747024001|A747024001|T2028|2019-01|665|29135|2108740.52
23191,servicing_npi,1306912282|A423525800|S5140|2022-03|219|6784|2107329.62
23205,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-12|252|8361|2106425.39
23507,servicing_npi,1134200942|A668967200|S5140|2021-12|170|5173|2085606.93
23550,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-03|605|31211|2082600.18
23555,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-03|251|7354|2082536.56
23609,servicing_npi,1104991066|A423525800|S5140|2022-05|222|7896|2079747.59
23654,servicing_npi,1477628758|A423525800|S5140|2021-09|218|7267|2077388.34
23697,billing_npi;servicing_npi,A342131700|A342131700|T2028|2019-03|765|38077|2074699.58
23724,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-10|1106|34940|2072732.56
23784,servicing_npi,1134200942|A668967200|S5140|2022-01|168|5126|2068928.04
24308,servicing_npi,1306912282|A423525800|S5140|2022-01|219|9517|2034380.85
24427,servicing_npi,1306912282|A423525800|S5140|2022-07|217|6176|2027144.18
24509,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-04|247|6943|2021563.75
24607,servicing_npi,1104991066|A423525800|S5140|2022-04|218|7434|2014862.58
24616,servicing_npi,1134200942|A668967200|S5140|2022-05|149|4577|2014442.85
24698,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-02|692|24583|2009677.73
24712,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-06|240|6457|2008855.59
24987,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-11|254|8190|1993190.71
25154,servicing_npi,1477628758|A423525800|S5140|2021-08|203|7191|1983872.83
25248,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-02|653|30271|1979028.44
25257,servicing_npi,1104991066|A423525800|S5140|2022-06|218|6838|1978264.84
25299,servicing_npi,1104991066|A423525800|S5140|2022-03|219|7471|1975961.71
25341,billing_npi;servicing_npi,A784457500|A784457500|T2028|2019-07|610|26441|1973336.97
25350,servicing_npi,1134200942|A668967200|S5140|2022-03|164|4837|1972967.72
25380,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-05|233|6677|1970629.44
25560,servicing_npi,1447348172|A014968200|H2014|2018-06|321|6243|1961407.48
25752,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-10|253|8170|1950934.08
25765,servicing_npi,1134200942|A668967200|S5140|2022-04|150|4486|1950015.92
25817,servicing_npi,1134200942|A668967200|S5140|2022-06|149|4413|1946657.26
25900,servicing_npi,1447348172|A014968200|H2014|2018-10|279|5962|1941916.54
26064,billing_npi;servicing_npi,A784457500|A784457500|T2028|2019-08|613|25812|1934022.17
26069,servicing_npi,1104991066|A423525800|S5140|2022-07|218|6671|1933806.46
26104,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-12|583|29627|1931852.04
26152,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-07|249|8118|1929833.75
26435,billing_npi;servicing_npi,A784457500|A784457500|T2028|2019-06|605|25397|1915374.11
26505,billing_npi;servicing_npi,A014098800|A105422800|T2028|2019-01|536|37570|1911084.60
26532,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-02|253|6989|1909534.03
26626,servicing_npi,1306912282|A423525800|S5140|2021-10|211|6300|1903544.79
26847,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-03|253|7709|1892622.39
26901,servicing_npi,1306912282|A423525800|S5140|2021-12|211|6328|1890405.93
26929,servicing_npi,1306912282|A423525800|S5140|2022-02|216|5860|1889011.37
26947,servicing_npi,1134200942|A668967200|S5140|2022-02|167|4676|1888210.47
27053,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-10|601|26416|1882468.46
27097,servicing_npi,1104991066|A423525800|S5140|2022-01|219|9566|1880645.03
27105,billing_npi;servicing_npi,A784457500|A784457500|T2028|2019-05|601|26442|1880350.18
27321,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-01|251|7401|1869558.95
27359,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-09|253|7587|1867887.72
27387,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-02|703|31614|1866706.36
27463,servicing_npi,1134200942|A668967200|S5140|2021-11|158|4571|1862011.37
27661,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-08|248|7108|1852612.50
27822,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-05|247|7723|1844816.35
27902,servicing_npi,1134200942|A668967200|S5140|2021-10|148|4527|1841790.33
28000,billing_npi;servicing_npi,A248023900|M784450100|T2016|2018-04|253|7274|1837650.40
28135,servicing_npi,1104991066|A423525800|S5140|2021-12|219|6700|1831781.48
28244,servicing_npi,1134200942|A668967200|S5140|2022-07|145|4353|1826787.54
28413,servicing_npi,1306912282|A423525800|S5140|2021-11|208|5913|1818634.06
28433,billing_npi;servicing_npi,A248023900|M784450100|T2016|2019-09|228|6250|1817851.05
28571,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-08|574|24717|1812446.27
28686,servicing_npi,1043385420|A423525800|S5140|2022-01|187|6743|1806627.77
28690,servicing_npi,1043385420|A423525800|S5140|2022-03|185|7501|1806538.46
28725,billing_npi;servicing_npi,A544125100|A544125100|T2028|2019-02|639|22517|1804877.95
