rank,npi,name,state,total_impact,confidence,num_methods,primary_method,actionable_notes
247,1831449370,CLARK COUNTY DEPARTMENT OF FAMILY SERVICES,NV,134226814.89,high,5,gev_extreme_value,High confidence; 3+ independent signals; Public entity; policy review likely
248,1073633376,"LIVING INNOVATIONS SUPPORT SERVICES, LLC",NH,133767567.38,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
249,1083810055,"PAS-PERSONAL ACCOUNTING SERVICES, INC.",MI,133532901.08,high,5,high_risk_category,High confidence; 3+ independent signals
250,1558416701,"EGLESTON CHILDREN'S HOSPITAL AT EMORY UNIVERSITY, INC.",GA,132583309.59,high,6,new_relationship_high_volume,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
251,1336149426,COCHLEAR AMERICAS,CO,132408435.80,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
252,1598898603,"BROADSTEP ACADEMY-NEW JERSEY, INC.",NJ,132033690.26,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
253,1598043747,"OMNI VISIONS, INC.",TN,131746271.61,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
254,1710087127,CHILDREN'S HOSPITAL CORPORATION,MA,131624140.89,high,5,iqr_outlier,High confidence; 3+ independent signals
255,1023199965,MACOMB OAKLAND REGIONAL CENTER INC.,MI,131087586.79,high,6,change_point_cusum,High confidence; 3+ independent signals; Sudden growth or stop pattern
256,1073561825,"OPTUM WOMEN'S AND CHILDREN'S HEALTH, LLC",GA,130902295.31,high,5,pharmacy_single_drug,High confidence; 3+ independent signals
257,1093873382,"TRILLIUM FAMILY SERVICES, INC.",OR,130647422.72,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
258,1992850952,BLACK HILLS WORKS INC,SD,130211826.80,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
259,1154788412,"EAGLE EYE FV, INC",NY,129815726.00,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
260,1578989703,CENTRAL VALLEY SPECIALTY HOSPITAL INC,CA,129625213.80,high,5,hhi_per_code,High confidence; 3+ independent signals; Sudden growth or stop pattern
261,1659601979,NORTHEAST PENNSYLVANIA CENTER FOR INDEPENDENT LIVING,PA,128613242.45,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
262,1326031022,"WHITE DEER RUN, LLC",PA,128405773.66,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
263,1760618961,"STUART T.WILSON C.P.A.,P.C.",MI,127789118.49,high,6,high_risk_category,High confidence; 3+ independent signals; Sudden growth or stop pattern
264,1518068071,NORTHERN LAKES COMMUNITY MENTAL HEALTH AUTHORITY,MI,127363089.31,high,7,specialty_mismatch,High confidence; 3+ independent signals
265,1730491945,"CITY MEDICAL OF UPPER EAST SIDE, PLLC",NY,127143343.59,high,7,impossible_em_visits_day,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
266,1275665457,NEW YORK NETWORK IPA INC,NY,127021009.92,high,9,isolation_forest,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
267,1417915653,ACCREDO HEALTH GROUP INC,PA,126315275.85,high,6,pharmacy_rate_outlier,High confidence; 3+ independent signals
268,1578967386,"OAKS INTEGRATED CARE, INC",NJ,125751884.65,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
269,1932472107,NORTH SHORE UNIVERSITY HOSPITAL,NY,125558119.17,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
270,1992886881,"MAINSTREAM LIVING, INC.",IA,125183799.61,high,5,iqr_outlier,High confidence; 3+ independent signals
271,1740376292,"NEW MEXICO CONSUMER DIRECT PERSONAL CARE, LLC",NM,125176140.09,medium,2,iqr_outlier,Statistical outlier vs peers
272,1255868915,BARI HOME CARE LLC,NY,124797999.38,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
273,1659330686,HELEN ROSS MCNABB CENTER,TN,124507659.30,high,5,iqr_outlier,High confidence; 3+ independent signals
274,1376097303,MARKS HOMECARE AGENCY INC,NY,124373198.20,high,14,high_risk_category,High confidence; 3+ independent signals; Network or middleman billing pattern; Billed every day; Sudden growth or stop pattern
275,1730244294,"BESTCARE, INC",NY,124114825.49,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
276,1508072588,COUNTY OF SOLANO,CA,123932684.88,high,5,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
277,1841327673,TRIVIUM LIFE SERVICES,IA,123687376.10,high,4,iqr_outlier,High confidence; 3+ independent signals
278,1750304044,"KEYSTONE CONTINUUM, LLC",TN,123351611.64,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
279,1255330825,"EDWARDS HEALTH CARE SERVICES, INC.",OH,122902679.57,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
280,1548317852,LAKES REGION COMMUNITY SERVICES COUNCIL,NH,122651915.18,high,4,gev_extreme_value,High confidence; 3+ independent signals
281,1447618061,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",TN,122267483.98,high,4,gev_extreme_value,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
282,1841302445,PEOPLE CARE INCORPORATED,NY,121414414.77,high,5,shared_bene_count,High confidence; 3+ independent signals; Sudden growth or stop pattern
283,1932749512,"LIVING INNOVATIONS SUPPORT SERVICES, LLC",NH,120997916.10,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
284,1295957561,"DEVELOPMENTAL SERVICES OF SULLIVAN COUNTY, INC.",NH,120342684.18,high,4,gev_extreme_value,High confidence; 3+ independent signals; Public entity; policy review likely
285,1710901939,"WASHINGTON COUNTY MENTAL HEALTH SERVICES, INC.",VT,120254024.30,medium,2,iqr_outlier,Public entity; policy review likely
286,1215982913,"BYRAM HEALTHCARE CENTERS, INC.",OR,120144037.24,medium,2,iqr_outlier,Statistical outlier vs peers
287,1609858729,"RGH ENTERPRISES, LLC",OH,120065775.40,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
288,1124215785,MISSISSIPPI DEPARTMENT OF REHABILITAION SERVICES,MS,119904964.85,high,4,kmeans,High confidence; 3+ independent signals; Public entity; policy review likely
289,1528387859,BRANDI'S HOPE COMMUNITY SERVICES,MS,119538124.19,medium,2,iqr_outlier,Statistical outlier vs peers
290,1679587679,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NY,119498924.72,high,10,bene_phantom_growth,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
291,1275566424,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INC",HI,119081690.20,high,5,iqr_outlier,High confidence; 3+ independent signals
292,1427114099,"JOHNS HOPKINS ALL CHILDREN'S HOSPITAL, INC",FL,118203374.07,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
