state,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
MA,2019-10,686765340.8699999,10587760,5449683,7373
MA,2022-02,685307185.4900002,8822544,4699110,6669
MA,2021-04,685051946.2199997,10096861,5481308,7080
NJ,2022-03,684668400.73,12958744,8698071,7827
NJ,2023-01,682123172.22,12466762,8331655,7640
MA,2021-05,680962097.7700001,9673989,5171327,6946
NJ,2024-10,676170056.47,9962215,6922288,6556
NY,2018-01,676124319.1199996,9705630,5171230,17931
NJ,2023-11,675615514.0899999,10274155,6775338,7565
MA,2021-06,673632082.2600001,9768739,5292543,7089
MA,2019-05,672354977.9299998,10283154,5185667,7110
NJ,2023-06,669135062.8900001,11543209,7909804,7689
NJ,2022-05,668669755.8599999,12119185,8020394,7660
MA,2019-01,667305910.1899998,10071691,5200702,6920
NJ,2023-12,665793157.8899999,9696051,6402621,7342
MA,2018-05,665125681.6799998,9767769,5221020,6993
NJ,2024-08,664892090.7500002,10407898,7230239,6812
MA,2018-10,664422798.07,10090331,5329742,7133
MA,2023-01,663900534.9500003,10059784,5401264,7394
MA,2020-07,660874417.6000001,8931094,4434646,6196
NJ,2024-06,658737462.2999998,10052879,6800434,7137
MA,2019-07,658234501.27,9926482,4925040,6593
MA,2019-08,657791423.5700002,9888252,4940778,6635
MA,2018-08,655404137.8800002,9682863,5048049,6598
NJ,2023-09,653945097.1,10292425,6869149,7594
NJ,2022-11,653631481.03,11567184,7807902,7594
NJ,2024-09,653354575.85,9775864,6824250,6655
MA,2023-05,652647266.9499999,10380894,5589309,6703
MA,2019-03,652370843.1,9907557,5065157,6844
NJ,2022-06,651642050.83,12094933,8022297,7640
NJ,2022-12,650981741.7699999,11271461,7475217,7523
MA,2020-10,650343579.9800003,9128789,4900248,6972
NJ,2022-10,649842486.1400001,11901849,7998976,7773
NJ,2023-04,648670900.2,11148128,7588923,7595
OH,2024-05,648419854.5900002,12015194,7841932,9359
NJ,2022-08,648297905.62,12901209,8402799,7481
MA,2019-04,647969415.3499999,9932479,5123229,6964
OH,2024-04,646201386.8800001,12370429,8003082,9130
NJ,2024-07,645866299.0200001,10375339,7146704,6877
AZ,2023-04,642743046.3700004,7995225,4478598,4603
MA,2019-09,639938238.2400002,9661326,4928540,6803
MA,2020-06,634037892.4300001,8214562,3856072,5820
MA,2018-07,634034763.62,9240112,4720537,6366
NJ,2023-02,633770632.2,11380023,7746456,7561
AZ,2023-01,631503379.0500001,8061197,4582134,4584
MA,2020-09,631016519.46,9053230,4795108,6782
MA,2020-02,630684001.8399998,9515494,4882379,6837
NJ,2022-09,630395354.79,12035022,7983469,7633
MA,2018-04,629779123.7799999,9197023,4981170,6732
MA,2019-11,629623049.38,9483084,4707575,6720
NJ,2022-04,628791908.6700001,11492386,7698003,7559
MA,2020-12,628532963.3500001,8588645,4377428,6382
MA,2019-12,627839824.6999999,9191374,4421434,6483
MA,2022-08,627654687.6499999,10320980,5409117,7050
MA,2022-10,627140230.14,10397305,5464309,7534
MA,2019-06,626748063.1999999,9388857,4723600,6666
MA,2018-06,626679656.88,9143893,4827210,6598
MA,2018-03,626234427.29,9059348,4829532,6553
NY,2018-02,624951559.3000002,8995298,4781824,17240
PA,2024-05,624303671.4699997,6753167,4325655,13244
NJ,2023-07,623606740.58,10521056,7218495,7311
MA,2022-11,622896335.9999999,10286648,5348798,7343
MA,2018-01,622359148.0899999,9013217,4722015,7007
MI,2023-10,619377990.21,9720529,6301949,7896
PA,2024-04,618906173.6600001,6850337,4404100,13332
OH,2023-10,617763958.1599997,14441267,8806205,8293
MA,2023-06,617497030.0,9685282,5246259,6552
NC,2024-02,617380501.3499999,14023914,9113892,8389
AZ,2022-12,617243550.34,7377577,4188387,4438
MA,2018-11,617012073.23,9310495,4792606,6742
MA,2020-08,616964848.1300004,8754339,4490693,6292
MI,2023-03,616888609.8400002,9972438,6531460,8159
NJ,2021-12,616644809.19,10513752,7329411,7421
MI,2023-05,616407935.24,9824467,6378049,8181
MA,2020-11,612503082.31,8344272,4368018,6422
MA,2022-12,611905699.87,10031225,5060419,7208
MA,2018-12,611406367.6999999,8989577,4488517,6470
NC,2024-01,611319017.4800003,13905434,9124163,8383
PA,2024-03,609652043.2100003,6743844,4341783,13155
NC,2024-03,608743433.7699997,13610741,8705139,8398
MA,2018-09,608384907.0099999,8938578,4643121,6531
MI,2023-08,608274417.31,9591467,6268875,8063
MA,2023-02,606001373.1700002,9249201,5025596,7029
PA,2024-10,605465273.1600001,6499618,4277455,12919
MA,2023-04,605190197.81,9651840,5132408,6391
NJ,2022-07,604287344.35,11224234,7416055,7244
MA,2020-05,603678188.75,7227299,2851234,4823
OH,2023-05,603651342.4099997,14621059,8879325,8289
OH,2023-04,603465403.9399999,14146467,8063808,7998
OH,2023-01,603087388.0599998,14821677,8208194,8125
MA,2022-09,602295464.8299999,10049986,5287039,7204
PA,2024-01,601280050.2200003,6540318,4114235,13153
NJ,2021-10,600289312.23,10505429,7471193,7658
MA,2022-07,599938373.9899999,9575544,4833942,6674
MI,2024-01,599026191.5799999,9149735,6037143,7875
MA,2020-03,598972136.3499998,8240181,3728983,5877
OH,2024-10,598827817.4599999,11075686,7530506,7528
PA,2024-02,597317028.0599998,6784184,4374530,13278
NJ,2022-01,593517252.5400001,10493935,7187620,7412
NJ,2021-03,593120450.24,10473106,7400751,7665
MA,2021-01,592896294.5600001,8172140,4297214,6270
MI,2024-04,592865650.9900001,9063111,5895605,7808
AZ,2023-02,590781443.8800001,7598945,4343046,4563
OH,2023-08,590209776.32,13944089,8505125,8031
PA,2023-03,589753602.8300002,6952461,4398105,13295
NJ,2021-11,588837585.8900001,10238401,7140142,7554
MA,2019-02,588713512.07,8816638,4588668,6509
OH,2024-06,588443440.1199999,10449649,6864556,8357
MI,2023-11,587630366.6400001,9091396,5852498,7719
MI,2023-06,586879689.4999996,9240112,5978062,7992
OH,2024-07,586212983.5399998,10599597,6988796,8130
NC,2024-10,585401896.17,13479363,9169500,8250
OH,2023-11,585044256.7400001,13228656,8130902,8173
NC,2023-10,584385339.5299999,13410808,8414906,8374
MI,2024-03,584023224.4599999,8908560,5797630,7686
MI,2024-05,582140670.95,8738847,5575977,7654
OH,2023-03,581226357.0999999,14490518,8398084,8113
MI,2024-02,581217759.0100001,9117908,5989711,7841
MI,2023-01,581073056.5099999,9557425,6294001,8091
MA,2018-02,578817333.03,8483918,4605591,6909
OH,2024-08,578401254.83,10725006,7376446,7553
AZ,2022-11,577905799.9200001,7566951,4354742,4453
MA,2021-02,577246245.8699999,8121285,4354755,6263
OH,2023-09,575700499.4499998,13542653,8255415,8124
NJ,2021-09,575627052.6200001,10039638,7183111,7511
PA,2024-07,575399068.3400002,6049679,3941414,12597
OH,2023-12,575280363.39,12071857,7550148,8156
PA,2023-05,573808545.53,6521625,4103332,12875
NJ,2022-02,573622772.5,10726774,7318069,7435
NC,2023-08,572671573.8699999,13490449,8343527,8333
NJ,2021-08,571759503.24,10051616,7263729,7298
MI,2023-09,571594101.2499999,9007420,5895036,7728
PA,2024-08,570782702.0,6064376,3999189,12588
PA,2024-09,570347501.15,6077023,3974823,12315
FL,2023-01,569221398.91,16111399,9359577,12656
PA,2023-10,568872576.02,6205654,3934014,12718
MA,2020-04,568790041.1800001,6619197,2405340,4450
NC,2024-05,567752529.66,13315991,8809619,8488
MI,2023-04,566652319.6800003,8967909,5860746,7932
MI,2023-07,566069336.4399999,8754868,5591311,7625
NC,2024-08,566064917.6899998,13445391,8961517,8251
NC,2024-04,565758253.2399999,13473348,8872571,8482
NJ,2021-06,564522259.0,9701214,6885410,7470
MI,2023-12,564147679.01,8552696,5459175,7417
AZ,2022-10,564147420.8599999,7636996,4426820,4524
NJ,2021-05,563829246.6399999,9223708,6436681,7411
NJ,2021-04,563474699.8399998,9750812,6927022,7519
FL,2023-03,563060454.6100003,15790265,9437364,12692
NC,2023-12,559423249.74,12761433,8139325,8035
NC,2024-07,558050359.7,13801992,8800148,8176
MI,2024-07,557121501.38,8138747,5109624,7298
MI,2024-08,553983173.5599998,8120012,5142364,7349
PA,2023-01,551420011.59,6446256,4091031,12780
PA,2023-08,548944674.0400001,6051927,3923151,12776
NC,2023-09,547891886.8799999,13074311,8063016,8204
MI,2024-10,547863305.2,8185974,5221512,7165
MI,2022-10,547425067.2800002,9221581,6159334,7832
NC,2024-09,547295538.9900001,13050683,8751082,8190
NC,2023-11,547127464.3400002,12319964,7918714,8137
OH,2024-09,546945909.98,10084135,6969580,7394
NJ,2021-07,546043076.1800001,9276486,6683730,7248
OH,2023-02,545607124.8999997,13910739,7983210,7903
NJ,2020-01,544985814.7399999,8961479,6086006,7230
NY,2024-12,544848514.8400002,4811041,2183361,7668
NJ,2019-10,543910994.08,8921408,5988140,7267
MI,2022-11,543285563.5699999,8989729,5982242,7836
OH,2023-06,542917540.53,13049014,8163987,7661
AZ,2023-05,540784085.49,8364124,4748071,4648
MI,2022-03,539666529.9000001,9444783,6139316,8019
PA,2023-11,538181910.66,5786228,3684581,12296
MI,2022-08,536207857.10000014,9216782,6048691,7924
FL,2020-01,535085611.55,13449245,7575684,11337
AZ,2022-08,535013181.06999993,8146109,4807541,4637
MI,2022-12,533731444.3200001,8687303,5689511,7604
PA,2024-06,533382361.57000005,5528336,3637488,12230
FL,2023-05,533361674.40999997,14782588,8468498,12752
MI,2024-09,533317348.86,8084591,5064343,7188
FL,2020-02,532038766.53,12996711,7282708,11306
AZ,2022-09,531519974.18,7609113,4410026,4525
NJ,2024-11,530667871.21999997,6807446,4711581,5256
FL,2022-12,529589510.4699999,14495298,8540171,12312
NJ,2019-05,528813679.61,8354152,5436409,7100
FL,2023-08,527122228.33,13913355,8168877,12385
NJ,2018-10,526893249.6,8576308,5688521,7203
MI,2024-06,526220172.8500002,7711297,4871292,7299
NC,2023-05,526167658.5899999,13450441,8458292,8517
FL,2023-10,526036148.72000015,13611445,7718599,12261
MI,2023-02,524995044.0199999,8591865,5696743,7819
NJ,2021-01,524191529.00000006,8920144,6255697,7224
PA,2021-03,524172337.08000004,8704295,5727328,13764
PA,2023-12,523989899.00999993,5512507,3480901,11736
PA,2023-02,523216765.80999994,6018278,3827214,12389
NC,2023-07,522263274.34,12477903,7607486,8087
NJ,2019-01,521841639.3600001,8278683,5523195,6983
PA,2023-09,521115463.56999993,5710478,3674386,12211
PA,2022-10,520494498.7300001,6076931,3856712,12060
PA,2023-06,519565719.05,5715365,3696975,12296
PA,2023-04,519075439.99000007,5901021,3752285,12316
PA,2022-11,517706315.39,6051619,3899672,12116
FL,2022-11,517173989.66000026,14678242,8671728,12395
FL,2023-02,515409294.44,14565286,8704659,12448
NJ,2019-03,514710729.93999994,8334109,5511261,7024
MI,2022-09,514388061.63999987,8873136,5896661,7699
NC,2024-06,514095601.76,11834815,8083833,8194
MI,2022-05,514067155.42000014,8845612,5737873,7786
MI,2022-06,513622139.9699999,8718134,5622666,7836
FL,2024-01,511825260.4199999,12569888,6908785,11765
NJ,2019-04,509478248.74999994,8270297,5498600,7091
NJ,2020-02,509125108.1500001,8259671,5632716,7181
AZ,2023-08,508605919.4100001,8142164,4726781,4509
PA,2021-09,507184584.0,7635996,5205197,13234
NC,2023-03,506665859.79999995,14049811,8782387,8596
PA,2022-05,505805791.11,6039022,3769907,11748
PA,2023-07,504909456.4599999,5402494,3470188,11823
FL,2023-04,504504068.4499999,14226680,8346060,12544
FL,2024-03,503257735.81999993,11701081,6278650,11393
NJ,2020-12,502699857.16,8175533,5626957,7107
PA,2022-12,502475234.1100001,5712605,3655835,11873
FL,2023-09,502125528.85,12851867,7500609,12043
PA,2022-09,501106228.15000033,5823986,3710637,11811
NC,2023-06,500178249.0999999,12756437,7980085,8259
MI,2022-04,498755622.18999994,8675248,5614192,7760
AZ,2023-06,498609815.09000015,7666847,4438804,4446
PA,2022-08,498554068.9499999,5831867,3768523,11903
FL,2024-04,497837217.9000001,12435793,6603879,11397
NJ,2020-10,497769986.6499999,8819233,6424365,7421
FL,2022-05,497308882.2299999,16703234,8739162,12377
OH,2023-07,497284765.8299999,12104047,7418544,7394
PA,2021-10,496899773.78000003,7371863,5009419,13156
PA,2022-03,496826636.01000005,6401139,4051026,12241
FL,2022-10,496242413.5199999,14996602,8835667,12466
PA,2021-08,496130902.7700001,7469276,5153970,13305
FL,2020-10,495979414.81000006,12621432,6764606,11071
MI,2022-01,495956340.37999994,8540400,5683329,7725
PA,2021-04,495678417.3699998,8145684,5439383,13472
FL,2020-03,495283997.7499999,11076017,6027956,10599
FL,2023-06,495003075.64,13244706,7685284,12333
FL,2023-11,494948060.40000004,12421244,6906197,11864
NJ,2019-12,494692499.73,7559248,4997694,6834
VA,2024-05,492278402.89,5825910,3287158,5924
NJ,2020-11,492208916.3200001,8245916,5805176,7145
MI,2022-07,491822194.76999986,8171624,5246836,7444
NC,2024-11,491772039.11,11719233,7899706,7853
NJ,2019-11,491723519.75999993,7777159,5229593,6930
MI,2021-10,491703085.01000005,8724005,5731658,7558
VA,2024-08,490871033.50000006,5694532,3251617,5845
FL,2022-06,490240101.0800001,16396784,8734028,12340
NJ,2019-09,489844507.77000004,7930298,5393899,7008
FL,2020-12,489659582.14000016,11907524,6229548,10841
VA,2023-10,488795154.9999999,6432613,3690366,6040
FL,2024-05,488463108.15,11815476,6284128,11228
FL,2021-03,488303618.82,13070559,7142492,11360
NJ,2019-08,488014233.4,8027860,5542542,6817
MI,2021-11,487699999.57000005,8554504,5618928,7584
VA,2024-10,487678728.4899999,5375325,3000632,5035
FL,2023-07,487164079.4300001,12726638,7300758,12028
PA,2021-05,485636044.47999996,7707379,5158730,13183
FL,2024-02,484983386.4800001,11900771,6474172,11521
VA,2023-05,483847310.13,6412192,3621299,6063
NJ,2020-09,483118438.41999996,8611846,6088823,7184
NC,2022-10,482631824.7400001,12781647,8170742,8277
AZ,2022-07,481877628.1100001,6988024,4107680,4324
