npi,name,state,confidence,total_impact,systemic_impact_raw,weighted_impact,score,weighted_score,num_methods,primary_method,methods,hypothesis_ids,state_quality_weight
A905843500,NPI A905843500,,high,0.0,1958196.74,0.0,12.6952,12.6952,2,phantom_billing,phantom_billing;gev_extreme_value,H0114;H0895;H0098;H0115;H0099,1.0
A876723800,NPI A876723800,,high,0.0,1784170.26,0.0,27.1372,27.1372,2,phantom_billing,phantom_billing;gev_extreme_value,H0895;H0098;H0099,1.0
A468622100,NPI A468622100,,high,0.0,1635750.11,0.0,6.4076,6.4076,3,phantom_billing,zscore_paid_per_bene;phantom_billing;gev_extreme_value,H0076;H0071;H0088;H0072;H0082;H0087;H0068;H0115;H0073;H0063;H0085;H0067;H0080;H0081;H0083;H0066;H0069;H0062;H0065;H0074;H0084;H0089;H0079;H0078;H0896;H0077;H0061;H0086;H0070;H0114;H0064;H0090;H0075,1.0
M815228400,NPI M815228400,,high,0.0,1580785.33,0.0,27.824,27.824,2,phantom_billing,phantom_billing;gev_extreme_value,H0896;H0098;H0099,1.0
A820313000,NPI A820313000,,high,0.0,1574428.85,0.0,7.6561,7.6561,2,phantom_billing,phantom_billing;gev_extreme_value,H0114;H0098;H0099;H0115;H0896,1.0
A128482700,NPI A128482700,,high,0.0,1418732.59,0.0,6.5723,6.5723,3,phantom_billing,zscore_paid_per_bene;phantom_billing;gev_extreme_value,H0076;H0071;H0088;H0072;H0082;H0087;H0068;H0115;H0073;H0063;H0085;H0067;H0080;H0081;H0897;H0083;H0066;H0069;H0062;H0065;H0074;H0084;H0089;H0079;H0078;H0077;H0061;H0086;H0070;H0114;H0064;H0090;H0075,1.0
A184822400,NPI A184822400,,high,0.0,1191289.6,0.0,14.2711,14.2711,2,phantom_billing,phantom_billing;gev_extreme_value,H0897;H0098;H0099,1.0
A672639900,NPI A672639900,,high,0.0,1171595.48,0.0,12.7469,12.7469,3,phantom_billing,zscore_paid_per_bene;phantom_billing;gev_extreme_value,H0076;H0071;H0088;H0072;H0082;H0087;H0068;H0098;H0099;H0073;H0063;H0085;H0067;H0080;H0081;H0897;H0083;H0066;H0069;H0062;H0065;H0074;H0084;H0089;H0079;H0078;H0077;H0061;H0086;H0070;H0064;H0090;H0075,1.0
A577215000,NPI A577215000,,high,0.0,1054713.67,0.0,8.4365,8.4365,2,phantom_billing,phantom_billing;gev_extreme_value,H0898;H0098;H0099,1.0
A884487000,NPI A884487000,,high,0.0,935471.07,0.0,6.2538,6.2538,3,phantom_billing,zscore_paid_per_bene;phantom_billing;gev_extreme_value,H0076;H0071;H0088;H0072;H0082;H0087;H0068;H0098;H0099;H0073;H0063;H0085;H0067;H0080;H0081;H0083;H0066;H0069;H0062;H0065;H0074;H0084;H0089;H0079;H0078;H0898;H0077;H0061;H0086;H0070;H0064;H0090;H0075,1.0
A473498100,NPI A473498100,,high,0.0,898362.07,0.0,6.3529,6.3529,2,phantom_billing,phantom_billing;gev_extreme_value,H0898;H0098;H0099,1.0
A462627000,NPI A462627000,,high,0.0,860323.27,0.0,7.5456,7.5456,2,phantom_billing,phantom_billing;gev_extreme_value,H0898;H0114;H0115,1.0
A026672900,NPI A026672900,,medium,0.0,0.0,0.0,0.0,0.0,2,gev_extreme_value,abrupt_stop;gev_extreme_value,H0188;H0189;H0195;H0192;H0186;H0199;H0190;H0200;H0187;H0191;H0193;H0114;H0098;H0099;H0194;H0196;H0197;H0198,1.0
A236660300,NPI A236660300,,high,0.0,0.0,0.0,0.0,0.0,5,gev_extreme_value,abrupt_stop;claims_per_bene_vs_median;iqr_outlier;yoy_growth;gev_extreme_value,H0195;H0206;H0199;H0186;H0098;H0099;H0329;H0207;H0211;H0213;H0198;H0215;H0202;H0192;H0193;H0210;H0212;H0209;H0194;H0197;H0214;H0200;H0189;H0095;H0203;H0204;H0188;H0190;H0208;H0187;H0191;H0205;H0196;H0201,1.0
A248521400,NPI A248521400,,high,0.0,0.0,0.0,0.0,0.0,3,abrupt_stop,abrupt_stop;paid_per_claim_vs_median;gev_extreme_value,H0195;H0199;H0186;H0098;H0115;H0099;H0198;H0192;H0193;H0194;H0197;H0200;H0189;H0277;H0188;H0190;H0187;H0191;H0114;H0196,1.0
A342131700,NPI A342131700,,high,0.0,0.0,0.0,0.0,0.0,6,gev_extreme_value,zscore_claims_per_bene;code_concentration_per_provider;abrupt_stop;claims_per_bene_vs_median;iqr_outlier;gev_extreme_value,H0195;H0199;H0186;H0544;H0098;H0099;H0329;H0198;H0553;H0192;H0547;H0193;H0541;H0549;H0194;H0552;H0197;H0200;H0551;H0189;H0543;H0095;H0555;H0546;H0542;H0545;H0039;H0188;H0190;H0550;H0187;H0191;H0548;H0196;H0554,1.0
A426219100,NPI A426219100,,medium,0.0,0.0,0.0,0.0,0.0,2,abrupt_stop,abrupt_stop;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H0198;H0192;H0193;H0100;H0194;H0197;H0200;H0189;H0188;H0101;H0190;H0187;H0191;H0114;H0196,1.0
