hcpcs_code,claim_month,total_paid,total_claims,total_beneficiaries
T1015,2023-10,770938069.1300001,4659787,3454958
T1015,2023-08,768881775.6199998,4733371,3563663
T1015,2024-03,766563840.1999996,4374120,3304888
T1015,2023-05,765610101.65,4854857,3556146
T1015,2024-08,758631113.8600004,4026213,3089005
T1015,2022-03,738763455.2900002,4927453,3498936
T1019,2018-03,733788880.6899996,9015637,474934
T1015,2023-11,723956902.2599998,4334348,3266019
T1015,2023-01,722360911.1999998,4658411,3400777
T1015,2024-09,714776513.2099996,3807733,2920799
T1019,2018-01,714520001.8400004,9047566,472744
T1015,2024-07,712684816.02,3758963,2881671
T1015,2023-02,696363541.9299997,4436028,3315560
T1015,2022-10,694663030.62,4558535,3324607
T1015,2023-04,693859417.3899999,4391032,3293669
T1015,2023-09,690403670.21,4277548,3249693
T1015,2021-03,689290247.12,4598946,3261467
T1015,2022-01,688228523.9100003,4516648,3299816
T1015,2022-08,687781403.4500002,4527833,3302686
T1015,2023-06,686771834.7700002,4240783,3178594
T1015,2021-08,686556453.9200004,4710760,3427880
T1015,2021-09,682588288.06,4709557,3406502
T1015,2022-09,682158408.6599997,4507063,3287794
T1015,2024-06,665782032.2199998,3569997,2745254
T1015,2021-10,663696864.8800002,4537906,3289709
T1015,2023-12,663058026.9199998,3895771,3010043
T1015,2021-04,662153292.5700002,4399691,3156488
T1019,2018-02,661892705.3000001,8454437,469751
T1019,2024-12,652274871.4899997,4676480,525248
T1015,2022-12,650510877.3899999,4173871,3130076
T1015,2021-11,644289069.1199998,4416333,3222047
T1015,2022-04,642891873.6399997,4285811,3103617
T1015,2021-06,636745871.4600005,4225592,3033462
T1015,2023-07,625197499.6400002,3810374,2921193
T1015,2022-02,624930803.0499997,4133794,3025094
T1015,2021-12,618037640.0700002,4177166,3088108
T1015,2024-11,615173825.4599998,3165696,2455604
T1015,2022-11,609513573.86,4061684,2981976
T1015,2021-05,609043508.86,4083325,2956448
T1015,2021-07,609020801.2200001,4160970,2992105
T1015,2020-10,584180983.08,3929468,2821448
T1015,2021-01,581007063.4300004,3903750,2798045
T1015,2020-12,575333766.6300002,3848179,2803911
S5125,2024-07,569824869.1700001,6753420,278913
99213,2023-03,562284906.9400004,12300727,10236627
S5125,2024-08,561817528.0800002,6808894,284435
T1015,2020-01,559608060.7599995,3884811,2843516
S5125,2024-05,557503817.07,6956842,294172
T1015,2021-02,552453149.8300002,3634480,2691282
S5125,2023-10,551830260.7099998,7026626,299028
99214,2024-01,551246765.71,7912050,6773160
T2016,2024-10,550129679.9899999,935843,54571
S5125,2024-10,542406057.42,6614386,276433
99213,2022-11,539028221.3499998,11410227,9682217
99214,2023-03,538358386.7600002,8641775,7410685
S5125,2024-01,537978063.4799998,6763972,288840
S5125,2024-03,537881116.8200002,6687209,294923
T2016,2024-09,537817246.2800003,926091,55305
S5125,2024-04,535890074.8,6848111,294393
T1015,2020-11,535120488.8600001,3640349,2671301
T2016,2024-05,533047416.31999975,1014099,55789
S5125,2023-12,530650148.3600001,6570686,289503
S5125,2023-11,528589397.97999996,6629287,292425
S5125,2024-06,527822704.15000004,6327616,281488
99213,2023-05,526247374.07000124,11781851,9836076
T1015,2022-05,525760036.7699999,3676625,2550152
99213,2023-01,525604847.33000046,11248228,9283616
T2016,2024-03,525010146.4499997,994925,54450
T1015,2020-09,524972312.9500004,3559770,2567984
S5125,2023-09,524963070.28000015,6787727,296080
99214,2023-01,524556703.1900001,8037777,6838981
T1015,2020-07,522933960.54999995,3555951,2448473
T2016,2024-07,522565169.9499999,956749,54867
T2016,2024-08,522171485.73000014,967133,55188
T2016,2024-04,518707639.24999976,988225,55695
T1015,2019-04,518475269.16999996,3780053,2683663
99213,2024-01,517831835.0899997,10505217,8700374
99214,2024-02,517261622.35999995,7832310,6695784
T1015,2020-02,516288125.0299998,3599438,2674065
T2016,2024-01,516248323.95000017,996606,54023
S5125,2024-09,515891273.11000013,6379048,280376
99213,2022-10,514510215.49999964,11028999,9334512
T2016,2023-10,512566303.3200001,973233,53728
T2016,2023-12,511862870.16000015,966827,54073
T1015,2019-01,510920616.40000004,3709274,2634017
T1015,2022-06,510138577.6599999,3500080,2413577
T2016,2024-06,510012497.31,962117,55511
99213,2022-03,509849537.8500002,11606391,9551868
S5125,2024-02,508052482.81,6396496,290080
T1015,2019-03,507794792.2100002,3711957,2680127
