billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1699725143,A0100,2022-06,CO,Taxi,13534082.91,320843,42.18288355987196,26.29689637313592,122,15.885987186736042,5096907.786953952,0.08326743898881007
1518096411,T2016,2021-05,MA,Case Management Agency,14628375.06,1068,13696.980393258427,8927.487217630855,23,4769.493175627573,5093818.711570248,2.109160712147732
1699725143,A0100,2023-03,CO,Taxi,17614749.02,425300,41.417232588760875,29.495021585478497,136,11.922211003282378,5070516.339695996,-0.03781239876659394
1518096411,T2016,2022-06,MA,Case Management Agency,15957103.5,1099,14519.657415832575,9909.184762773722,23,4610.472653058852,5066909.445711679,1.6735268156248493
1750504064,T2016,2018-10,MA,Case Management Agency,13896456.45,1112,12496.813354316546,7946.574048257373,23,4550.239306059173,5059866.1083378,2.9008358884534458
1245354000,T2016,2022-06,MA,Case Management Agency,13341165.22,839,15901.269630512516,9909.184762773722,23,5992.084867738793,5027359.204032848,2.283902793411731
1518096411,T2016,2020-11,MA,Case Management Agency,14259766.61,984,14491.632733739836,9389.724041916168,23,5101.908691823668,5020278.152754489,2.380908256281971
1518096411,T2016,2020-10,MA,Case Management Agency,14746074.51,1024,14400.463388671875,9499.669675516225,23,4900.79371315565,5018412.762271386,2.2279409145154463
1518096411,T2016,2023-10,MA,Case Management Agency,13295095.22,903,14723.250520487265,9168.775887445887,23,5554.474633041378,5015690.593636365,1.9854184703319775
1750504064,T2016,2018-04,MA,Case Management Agency,13289046.28,1091,12180.610705774518,7605.015552560647,23,4575.595153213871,4991974.312156333,2.6310442861486543
1750504064,T2016,2018-11,MA,Case Management Agency,13378647.61,1182,11318.652800338408,7114.783052391799,23,4203.869747946609,4968974.042072892,2.6245886571414165
1518096411,T2016,2021-04,MA,Case Management Agency,14211450.79,1039,13678.008460057747,8904.86419203747,23,4773.144268020276,4959296.8944730675,2.208858287782572
1396756938,T1015,2018-07,CA,General Acute Care Hospital,6799595.0,7709,882.0333376572837,240.35714285714286,53,641.6761948001408,4946681.785714285,2.4954173141311977
1750504064,T2016,2018-09,MA,Case Management Agency,13455016.45,1117,12045.672739480751,7626.8426158038155,23,4418.830123676936,4935833.248147137,2.7418691308081695
1750504064,T2016,2018-03,MA,Case Management Agency,13718282.83,1091,12574.044757103575,8054.034933920704,23,4520.009823182871,4931330.717092512,2.826574992342948
1922733641,T1016,2022-12,AZ,Community/Behavioral Health,5089294.8,4552,1118.034885764499,36.8719734345351,281,1081.162912329964,4921453.576925996,1.7628215796413393
1750504064,T2016,2019-01,MA,Case Management Agency,14022476.85,1131,12398.299602122015,8059.749972752044,23,4338.549629369971,4906899.630817437,2.894581855520984
1023788031,H0004,2022-09,AZ,Community/Behavioral Health,5015643.04,1416,3542.120790960452,79.14952380952381,201,3462.971267150928,4903567.314285714,4.019743499550992
1699725143,A0100,2022-07,CO,Taxi,12840770.0,308705,41.59560097828024,25.714717617444997,126,15.880883360835242,4902508.0979066435,0.059498171668727846
1518096411,T2016,2023-09,MA,Case Management Agency,12842738.42,866,14829.951986143187,9175.177159090908,23,5654.774827052279,4897035.000227273,2.033504712406607
1518096411,T2016,2023-12,MA,Case Management Agency,13041162.03,949,13742.004246575341,8593.832794457276,23,5148.171452118066,4885614.708060044,1.86673012717241
1073854451,H2016,2019-05,NJ,Day Training/Habilitation,5360997.49,1394,3845.7657747489243,345.9090454545455,37,3499.856729294379,4878800.280636365,2.2461452504684303
1245354000,T2016,2024-08,MA,Case Management Agency,14166248.7,1020,13888.479117647059,9107.211325,23,4781.267792647059,4876893.1485,2.124005005395285
1750504064,T2016,2019-04,MA,Case Management Agency,13729755.64,1174,11694.851482112437,7551.677628032345,23,4143.1738540800925,4864086.104690028,2.7985712512163556
1356709976,T2033,2020-03,TN,Nursing Home,12837778.49,34432,372.8444031714684,232.28662840129493,30,140.55777477017347,4839685.300886612,0.8808322461365936
1699725143,A0100,2023-02,CO,Taxi,14685771.1,343442,42.760556658766255,28.739330959015177,134,14.021225699751078,4815477.79677391,-0.007237069036535227
1750504064,T2016,2018-07,MA,Case Management Agency,13666837.69,1109,12323.568701532911,7998.0028571428575,23,4325.565844390054,4797052.52142857,2.7686747265706173
1699725143,A0100,2022-05,CO,Taxi,13012451.47,313469,41.51112700139408,26.22807851723492,122,15.28304848415916,4790761.925280888,0.16360104311281354
1275849283,00003,2018-04,CA,Family Medicine,15138438.35,55028,275.1042805480846,188.22,71,86.8842805480846,4781068.1899999995,0.4547759730346625
1518096411,T2016,2021-01,MA,Case Management Agency,14645820.66,925,15833.319632432433,10672.01976284585,23,5161.299869586583,4774202.379367589,2.4463748774058924
1699725143,A0100,2023-04,CO,Taxi,16563275.71,391687,42.287019252617526,30.130252100840337,127,12.156767151777188,4761647.655378152,-0.084673780156133
1538144910,U0003,2021-08,NC,Clinical Lab,9665501.9,124826,77.43180026597024,39.285714285714285,41,38.146085980255954,4761623.3285714295,1.304239359236476
1699725143,A0100,2022-09,CO,Taxi,13840999.69,310977,44.50811375117774,29.20043763676149,127,15.30767611441625,4760335.195032822,0.03802143760748944
1184703415,T1019,2019-11,NY,Home Health Agency,15580501.78,75557,206.20858133594504,143.52158017127516,538,62.68700116466988,4736441.746998962,0.19412407355976302
1750504064,T2016,2018-08,MA,Case Management Agency,13833305.51,1124,12307.21130782918,8102.6828,23,4204.528507829181,4725890.042799999,2.749389626233695
1518096411,T2016,2024-03,MA,Case Management Agency,12716920.77,903,14082.968737541527,8860.423902439024,23,5222.5448351025025,4715957.986097559,1.9839912264864046
1699725143,A0100,2022-10,CO,Taxi,14165330.97,328794,43.082693023595326,28.752495827130776,122,14.33019719646455,4711682.8570143655,-0.009201849257157628
1134260078,A0100,2021-01,MO,Secured Transport,5333555.13,209896,25.41046580211152,3.0,51,22.41046580211152,4703867.13,4.648117308519049
1184703415,T1019,2020-05,NY,Home Health Agency,14640435.43,69973,209.22978048675918,142.18389419642858,541,67.0458862903306,4691401.801393303,0.1716600482848081
1134260078,A0100,2022-04,MO,Secured Transport,5256601.14,189393,27.75499168395875,3.0,47,24.75499168395875,4688422.14,2.9416225715038884
1518096411,T2016,2020-08,MA,Case Management Agency,14188032.62,987,14374.906403242147,9627.269297188755,23,4747.637106053391,4685917.823674697,2.1958766889982306
1699725143,A0100,2023-01,CO,Taxi,15096671.76,350991,43.01156371530894,29.67226606538895,135,13.339297649919988,4681973.421443067,0.007646404669856024
1245354000,T2016,2021-07,MA,Case Management Agency,13784311.08,999,13798.10918918919,9130.142488584475,23,4667.966700604715,4663298.73390411,1.6652603971506574
1518096411,T2016,2020-09,MA,Case Management Agency,13953330.73,1019,13693.160677134447,9133.083119266055,23,4560.0775578683915,4646719.031467891,2.1476533823884827
1023788031,T1016,2022-09,AZ,Community/Behavioral Health,4689935.7,1419,3305.0991543340383,34.52674907292954,285,3270.5724052611085,4640942.243065513,6.354322307030556
