specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Home Health Agency,2019-07,1128526254.7900002,10631650,865007,5543
General Acute Care Hospital,2023-05,1118993511.8200002,24556227,19802410,2437
Other,2018-06,1112151390.7500005,27641810,19504433,49611
Other,2018-12,1103939572.9599998,26442778,18181400,46377
General Acute Care Hospital,2023-01,1098679568.3200002,24108180,19179466,2432
Community/Behavioral Health,2024-03,1093424338.5900002,7853879,2510435,5678
Home Health Agency,2019-01,1092417782.59,10363794,842912,5421
Home Health Agency,2019-04,1091181269.22,10479448,857298,5522
Community/Behavioral Health,2024-05,1090222363.0700002,7780672,2493986,5714
Home Health Agency,2019-06,1086815964.9900002,10265221,845455,5520
Community/Behavioral Health,2024-01,1085363810.81,7957694,2541669,5647
Other,2018-09,1083850640.8300004,26588056,18710009,47569
Community/Behavioral Health,2023-10,1083452175.79,8144343,2541466,5657
Community/Behavioral Health,2024-04,1079809752.5199997,7812926,2526214,5735
Other,2018-02,1079576388.1499999,27710076,19827442,50778
General Acute Care Hospital,2024-01,1073830054.8400002,22677428,18249734,2380
Community/Behavioral Health,2024-02,1073011390.4699996,7830997,2525617,5647
General Acute Care Hospital,2023-08,1062755606.45,23618168,18822862,2419
Community/Behavioral Health,2023-08,1062665004.9399997,8236746,2556454,5640
General Acute Care Hospital,2023-10,1057521561.8199998,22803924,18406034,2412
Other,2020-05,1049155479.6000001,21967492,13855854,37746
General Acute Care Hospital,2022-11,1047447850.8300003,22156296,18126473,2444
General Acute Care Hospital,2023-04,1041628235.9700001,22870565,18305489,2421
Community/Behavioral Health,2023-11,1028938298.4099996,7696201,2451637,5610
Community/Behavioral Health,2023-03,1027049369.4699999,8489712,2612520,5739
General Acute Care Hospital,2023-06,1024180741.8400002,22839866,18425198,2435
General Acute Care Hospital,2024-02,1023121369.0599998,21845253,17615233,2382
Home Health Agency,2019-02,1019272065.65,9626289,831624,5459
General Acute Care Hospital,2024-03,1017832526.7900002,21746047,17830150,2347
Community/Behavioral Health,2024-07,1013088346.09,7136852,2290193,5437
General Acute Care Hospital,2023-02,1008976604.5099998,22312626,17848767,2423
General Acute Care Hospital,2023-12,1004742607.5499998,21087191,17315702,2377
General Acute Care Hospital,2023-11,1002446591.2000002,21409456,17409529,2392
Community/Behavioral Health,2024-08,1001958549.4800001,7115152,2330687,5410
General Acute Care Hospital,2023-09,1000123023.24,21810037,17633764,2400
General Acute Care Hospital,2022-10,998559274.22,21809189,17815143,2449
Community/Behavioral Health,2023-05,994459576.0899998,8254468,2563418,5693
Community/Behavioral Health,2023-09,993385491.52,7544972,2424496,5601
Community/Behavioral Health,2024-06,991103228.5100001,6932886,2285142,5613
General Acute Care Hospital,2024-05,978171405.0299997,21006802,17400481,2343
Community/Behavioral Health,2024-10,977617665.1800002,6924624,2262144,5314
General Acute Care Hospital,2022-08,972961023.67,21668312,17704378,2446
Community/Behavioral Health,2023-07,971147058.7400001,7474207,2350891,5543
General Acute Care Hospital,2022-12,969007172.79,20743142,16964430,2429
General Acute Care Hospital,2023-07,968295372.6800001,21836535,17515074,2406
Community/Behavioral Health,2023-01,967762299.37,7805030,2428777,5593
Community/Behavioral Health,2024-09,965818810.9,6751246,2251123,5393
Community/Behavioral Health,2023-12,964808540.8000003,7111282,2327130,5549
General Acute Care Hospital,2024-04,963904609.88,21093991,17440114,2352
Community/Behavioral Health,2023-04,962024124.4700001,7765450,2442174,5642
General Acute Care Hospital,2022-05,959252501.0299999,21147273,17357556,2425
Home Health Agency,2018-12,958650023.7299999,9555171,793132,5225
General Acute Care Hospital,2022-03,949989649.23,21659729,17688470,2425
General Acute Care Hospital,2022-09,948296837.4900001,21115592,17196268,2429
Community/Behavioral Health,2023-06,938529290.99,7671960,2430463,5597
Home Health Agency,2018-11,926910542.3299999,8956444,757290,5047
General Acute Care Hospital,2022-06,919604041.05,20505141,16809235,2414
Home Health Agency,2018-10,916803043.62,9156606,768708,5109
Community/Behavioral Health,2022-10,916411200.0600001,7426606,2318493,5451
General Acute Care Hospital,2021-08,911436264.3200003,21176146,17575067,2449
Community/Behavioral Health,2022-11,910721562.13,7255680,2304007,5469
Community/Behavioral Health,2022-08,910519304.1200001,7451078,2323441,5415
Community/Behavioral Health,2022-12,909994484.0900002,7059439,2247117,5403
Home Health Agency,2018-08,907659171.2099999,9259685,764292,5070
Community/Behavioral Health,2023-02,902054726.3899999,7370360,2386216,5585
General Acute Care Hospital,2022-04,894150624.7,20174123,16534630,2411
General Acute Care Hospital,2021-09,890628783.4999999,20416360,17030122,2442
General Acute Care Hospital,2021-12,888674873.2000002,19679055,16291721,2422
General Acute Care Hospital,2024-08,884229008.8,19219262,16120370,2306
Community/Behavioral Health,2022-09,882155288.43,7212591,2272362,5429
Community/Behavioral Health,2022-03,880488147.0899997,7861000,2405063,5429
Home Health Agency,2018-07,877550506.3799999,8805831,767229,5018
General Acute Care Hospital,2022-07,875977820.4200001,19592417,15989002,2425
General Acute Care Hospital,2022-01,871924623.1099999,19305626,15945486,2424
Other,2020-04,868867041.26,16949194,9850902,29835
General Acute Care Hospital,2024-07,868120615.37,19246577,15961498,2299
General Acute Care Hospital,2021-10,864515133.3499999,20112476,16704840,2452
General Acute Care Hospital,2020-01,863758642.9199998,20887783,16758023,2456
Home Health Agency,2018-05,862945375.58,8886083,758978,5022
Home Health Agency,2018-09,859627151.99,8542679,742947,5027
General Acute Care Hospital,2024-06,853252907.6200002,18590015,15463411,2301
General Acute Care Hospital,2021-07,850495855.7200001,20568588,16936507,2442
General Acute Care Hospital,2021-06,848849435.5000004,20785546,17105577,2442
General Acute Care Hospital,2024-09,847682716.4300001,18219992,15416457,2291
Home Health Agency,2018-06,845645219.9599999,8566082,744120,4985
Community/Behavioral Health,2022-05,842785887.3,7234944,2295537,5393
General Acute Care Hospital,2021-03,839207381.75,20954256,17154114,2443
General Acute Care Hospital,2021-11,838719582.06,19379844,16044535,2426
General Acute Care Hospital,2024-10,837819253.95,17841303,15170051,2272
Community/Behavioral Health,2022-06,836587171.0600001,7104626,2256557,5414
General Acute Care Hospital,2021-04,833987880.78,20698643,17066964,2449
General Acute Care Hospital,2021-05,829493126.9799999,20334413,16852876,2444
Community/Behavioral Health,2022-07,817353792.3900002,6641341,2112049,5325
Home Health Agency,2018-03,816150889.9100001,8565805,768579,4960
Home Health Agency,2018-04,815568936.3200003,8461888,770783,4995
Community/Behavioral Health,2022-04,814694574.2000005,7123926,2268417,5412
Community/Behavioral Health,2021-03,809311368.63,7802136,2282661,5369
Case Management Agency,2024-01,806089239.76,5956528,1902224,2626
Case Management Agency,2024-03,799368866.44,5913533,1877624,2622
Case Management Agency,2023-10,797790484.5900002,5867656,1877410,2645
Case Management Agency,2024-05,795863360.3899999,5887600,1859137,2653
Home Health Agency,2018-01,794645220.2899998,8501264,750077,4904
General Acute Care Hospital,2019-10,792584758.8600001,19835555,16025382,2420
Case Management Agency,2024-10,789900774.61,5611273,1826235,2499
Case Management Agency,2024-07,787181111.2199999,5762413,1822544,2584
Case Management Agency,2024-04,784622424.1299999,5920967,1883028,2638
Case Management Agency,2024-08,781703388.1799998,5611649,1828011,2584
Case Management Agency,2023-08,778904617.56,5791202,1790177,2634
Community/Behavioral Health,2021-10,777573352.94,7161053,2185642,5236
Case Management Agency,2024-09,776060823.68,5529502,1822166,2563
Case Management Agency,2024-02,773773042.04,5742555,1862068,2620
Community/Behavioral Health,2024-11,771246445.1199999,5438901,1876859,4847
Case Management Agency,2023-11,770105490.5600002,5740399,1833189,2634
General Acute Care Hospital,2020-02,768089071.3899999,18644664,15074064,2436
Community/Behavioral Health,2021-06,766982016.4799999,7231611,2166499,5390
Community/Behavioral Health,2021-04,765985475.8100001,7277961,2191680,5365
Community/Behavioral Health,2021-08,760410053.9699999,7088047,2164533,5290
Community/Behavioral Health,2021-11,759569137.52,7021443,2176617,5249
Case Management Agency,2023-12,758637524.62,5490039,1777379,2600
Community/Behavioral Health,2022-01,755867831.51,6753095,2167995,5262
General Acute Care Hospital,2022-02,755754640.37,17382967,14272094,2402
Community/Behavioral Health,2021-07,754907633.36,6989633,2121069,5311
Case Management Agency,2023-07,753284029.7800001,5658070,1760447,2618
Case Management Agency,2023-09,753110485.75,5575987,1805058,2629
Community/Behavioral Health,2022-02,752240392.6100001,6680931,2170815,5290
Case Management Agency,2022-03,751674128.3199998,6224195,1914212,2509
Community/Behavioral Health,2021-05,751630456.1500001,7012160,2127158,5386
Community/Behavioral Health,2021-12,749629871.31,6861578,2137390,5221
Case Management Agency,2022-06,746791548.6799998,5763773,1834904,2550
Case Management Agency,2022-05,746633312.4299998,5902071,1840700,2534
Case Management Agency,2024-06,745994204.7700002,5399405,1739850,2607
General Acute Care Hospital,2019-12,744021948.3000001,18157859,14755461,2428
Community/Behavioral Health,2021-09,743540599.8,6964248,2172648,5181
Community/Behavioral Health,2020-10,735320506.9499998,7028157,2080296,5062
Case Management Agency,2021-07,734549521.9599999,6375984,1820720,2501
Home Health Agency,2018-02,731749493.34,7711771,737512,4900
General Acute Care Hospital,2020-10,731007597.33,17921339,14561044,2363
Case Management Agency,2021-08,729837482.16,6304913,1844058,2477
Case Management Agency,2022-04,722036360.7600001,5943975,1829304,2525
General Acute Care Hospital,2019-03,719847870.6900003,18182990,14625455,2355
Case Management Agency,2021-10,718273723.6800001,6084505,1819963,2490
Case Management Agency,2021-03,715878285.3499998,6136388,1688030,2531
General Acute Care Hospital,2019-11,713182495.48,17687829,14392483,2399
Case Management Agency,2021-09,709806605.5500002,6118946,1815968,2463
Community/Behavioral Health,2019-10,708156454.4699998,7043363,2020568,4819
General Acute Care Hospital,2019-04,708142676.3500001,17769548,14091542,2355
