specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Endocrinology,2022-08,8268647.330000001,255959,209926,724
Pediatric OT,2019-05,8264409.709999999,110645,23933,208
Registered Nurse,2022-01,8259547.740000002,103185,50188,489
Infectious Disease,2022-01,8257836.390000001,225364,101670,896
Intermediate Care (MR),2018-11,8257336.67,37031,4855,42
Psychiatric NP,2021-12,8252454.57,153808,113222,980
Custodial Care Facility,2024-11,8249857.82,59977,4603,58
Medicare-Medicaid Hospital,2019-10,8248702.269999999,210693,168095,91
Urology,2020-07,8245819.010000004,209441,180662,664
Physical Med & Rehabilitation,2023-06,8245019.239999999,266669,155576,886
Pulmonary Disease,2022-03,8243227.89,208802,141401,877
Registered Nurse,2021-01,8242098.11,99995,42239,434
Student,2022-07,8238654.97,196392,158160,1246
Endocrinology,2022-10,8236096.269999998,255168,208995,718
Nephrology,2019-11,8228920.81,256976,161641,1390
Podiatrist,2023-03,8228109.98,346558,288273,1743
Preferred Provider Organization,2024-11,8226644.909999999,267990,61565,169
Medical PA,2023-03,8224656.05,185830,154993,326
Registered Nurse,2021-06,8224041.32,99432,43938,469
Endocrinology,2023-11,8216988.84,278312,231218,674
Endocrinology,2022-11,8216652.979999998,243546,200470,683
Preferred Provider Organization,2021-10,8216336.8100000005,174269,88670,226
Urology,2020-08,8214937.819999987,206117,179005,643
Pediatric NP,2018-02,8214219.409999998,158640,134828,401
Nurse Anesthetist (CRNA),2023-05,8212329.389999999,128576,102836,401
Home Delivered Meals,2020-08,8211624.369999999,455524,40301,99
Pediatric NP,2024-07,8203941.810000003,237821,205901,288
Preferred Provider Organization,2022-12,8201408.359999999,131522,71733,205
Pulmonary Disease,2023-05,8197477.669999999,207744,143951,874
Pulmonary Disease,2021-10,8194065.27,195368,128032,870
Physical Med & Rehabilitation,2023-02,8191234.520000002,249795,142272,821
Clinical Child Psychologist,2024-05,8190530.160000002,103592,61696,80
Medicare-Medicaid Hospital,2018-05,8189802.980000003,212700,167179,89
Rehab Hosp,2023-01,8188330.370000001,144909,113562,41
Pediatric NP,2020-02,8187091.380000002,170471,145480,379
Critical Access,2024-12,8182056.95,121812,111183,415
Custodial Care Facility,2022-06,8177440.73,69813,7173,56
Rehab Hosp,2023-11,8177404.840000001,134569,102755,45
Physical Med & Rehabilitation,2024-03,8177143.989999999,270767,150517,815
Podiatrist,2021-03,8176477.650000001,311749,261667,1846
Occupational Therapy Assistant,2021-07,8175785.079999998,80330,21660,121
Preferred Provider Organization,2022-11,8175095.410000001,141389,83596,210
Pediatric NP,2022-02,8168758.549999997,195359,171235,278
Podiatrist,2023-01,8164643.000000001,322704,260692,1699
Urology,2019-01,8163369.059999999,219000,186428,731
Nephrology,2019-02,8162948.77,245829,156136,1284
Pediatric NP,2019-12,8161359.570000002,169168,146614,343
Podiatrist,2021-09,8156372.830000002,290858,246022,1700
Occupational Therapy Assistant,2021-01,8155958.78,82481,21039,121
Pulmonary Disease,2021-04,8155405.55,199058,131860,885
Rheumatology,2020-10,8152847.45,144347,123203,503
Audiologist,2023-01,8152266.999999998,131170,106174,344
Exclusive Provider Organization,2019-02,8147164.5200000005,181931,125374,137
Clinical Child Psychologist,2024-02,8146502.710000001,104325,64025,74
Physical Med & Rehabilitation,2022-01,8145592.83,231238,141005,834
Infectious Disease,2023-01,8144437.46,203982,94729,845
Health Educator,2023-01,8138766.04,90452,8814,73
Health Educator,2022-12,8136805.959999999,87145,8554,72
Clinical Child Psychologist,2023-01,8136788.670000003,105911,69343,83
Physical Med & Rehabilitation,2024-05,8135354.500000001,270173,146442,856
Podiatrist,2022-03,8129334.540000001,338218,281603,1784
Pediatric NP,2019-05,8126963.709999999,152450,134332,326
Physical Med & Rehabilitation,2024-02,8124073.589999998,257054,147317,809
Primary Care NP,2024-07,8123210.190000003,111211,84041,247
Audiologist,2023-07,8121784.100000002,118050,97194,329
Health Educator,2022-08,8118393.89,89054,8499,69
Home Delivered Meals,2021-08,8114426.089999999,440443,42210,113
Rehab Hosp,2023-06,8114314.630000001,147849,114157,42
Preferred Provider Organization,2022-07,8113470.17,132093,72864,207
Home Delivered Meals,2021-11,8110922.659999999,405105,38048,112
Physical Med & Rehabilitation,2022-11,8110018.549999999,248530,142458,833
Occupational Therapy Assistant,2021-12,8107522.77,86251,24065,134
Pediatric NP,2023-07,8107249.08,218918,188267,276
Registered Nurse,2022-03,8106366.519999999,103503,50684,499
Preferred Provider Organization,2021-11,8104048.379999999,190480,91459,226
Registered Nurse,2023-02,8102567.51,106204,55558,447
Pediatric OT,2023-02,8099109.539999999,116832,33907,288
Nurse Anesthetist (CRNA),2024-01,8098259.78,111764,90339,356
Custodial Care Facility,2023-02,8092579.529999999,66438,7544,59
Medicare-Medicaid Hospital,2019-01,8076525.5200000005,204216,162060,94
Physical Med & Rehabilitation,2022-09,8075477.789999998,249822,146469,858
Otolaryngology,2021-12,8074436.120000001,191886,170436,738
Health Educator,2021-03,8072255.41,105892,10598,64
Health Educator,2020-12,8071985.92,100344,10510,71
Home Delivered Meals,2020-06,8071368.94,431252,39164,95
Pulmonary Disease,2021-05,8070598.34,191357,124786,874
Pulmonary Disease,2020-01,8067710.1899999995,211426,138291,941
Medicare-Medicaid Hospital,2018-02,8064682.110000002,215358,167449,93
PhD Medical Genetics,2023-11,8062091.439999999,41209,30514,21
Pediatric NP,2022-06,8054960.840000002,245275,176373,295
Otolaryngology,2022-07,8052722.4,197118,171067,706
Audiologist,2022-10,8051107.289999999,124133,100739,322
Rheumatology,2020-12,8050510.339999999,139200,115256,475
Registered Nurse,2020-12,8050224.71,94856,40063,448
Custodial Care Facility,2022-03,8043960.84,72006,7485,51
Preferred Provider Organization,2023-02,8043448.76,149171,90732,220
PhD Medical Genetics,2024-02,8038702.169999999,42570,31012,24
Physical Med & Rehabilitation,2024-10,8034674.39,260475,143404,770
Mentally Retarded ICF,2024-06,8031348.59,17794,2374,25
Foster Care Agency,2019-02,8030516.09,62890,11459,89
Marriage & Family Therapist,2018-12,8028669.779999998,101934,45532,821
Eyewear Supplier,2019-12,8024570.15,470749,429000,739
Audiologist,2022-08,8023238.29,118566,97411,315
Custodial Care Facility,2021-12,8021409.350000001,71871,8065,51
Registered Nurse,2022-05,8021229.950000001,97490,48598,454
Endocrinology,2023-09,8016481.670000002,252444,208409,677
Otolaryngology,2024-09,8013673.6000000015,167624,151636,662
Eyewear Supplier,2019-06,8008978.859999999,478267,435250,745
Pediatric OT,2022-06,8007280.989999998,115968,29435,274
Audiologist,2024-04,8006308.580000004,106594,83032,327
Rehab Hosp,2023-09,8004493.310000001,135264,105208,46
Rehab Hosp,2023-07,7999736.090000002,144954,110515,43
Occupational Therapy Assistant,2020-10,7999625.5,78050,18913,116
Chore Provider,2022-01,7999528.439999999,83562,9172,59
Medical PA,2023-01,7999501.610000001,180013,147186,307
Student,2021-03,7992936.300000002,215363,168608,1124
Foster Care Agency,2018-12,7991246.610000001,64297,10547,87
Health Educator,2022-10,7990568.16,86659,8610,72
Pediatric NP,2021-01,7988312.800000002,192324,166886,243
Podiatrist,2021-10,7988041.420000001,298073,250740,1701
Rheumatology,2020-09,7987457.419999999,136644,113451,462
Custodial Care Facility,2021-11,7986071.0200000005,70889,8071,50
Student,2021-08,7981234.290000001,207502,162114,1148
Nephrology,2019-06,7980823.630000001,244151,155221,1301
Audiologist,2023-04,7977807.989999998,124862,102862,343
Oral & Maxillofacial Surgery,2021-03,7973195.389999999,134259,107075,109
Clinical Child Psychologist,2023-10,7971702.100000001,102386,71769,76
Foster Care Agency,2018-05,7971296.4399999995,72214,11863,79
Otolaryngology,2021-05,7965354.029999998,170252,149721,765
Medicare-Medicaid Hospital,2018-04,7963562.539999998,205753,159305,88
Registered Nurse,2022-04,7960073.409999999,98490,47902,455
Infectious Disease,2024-01,7956481.98,191504,93148,817
Exclusive Provider Organization,2020-03,7949252.519999998,306110,124789,135
Home Delivered Meals,2020-05,7946997.94,433419,38385,95
Physical Med & Rehabilitation,2023-04,7946511.479999999,257151,147470,858
Health Educator,2022-11,7945641.959999999,84503,8739,72
Eyewear Supplier,2018-12,7944956.930000001,515566,457404,747
Custodial Care Facility,2021-03,7940755.08,77388,8253,50
Oral & Maxillofacial Surgery,2021-07,7940705.769999977,136859,107881,101
Adolescent/Children MH,2024-12,7933549.449999999,61827,32522,197
Pediatric NP,2019-07,7933328.689999999,159447,137772,348
Rehab Hosp,2023-04,7931736.7399999965,146231,112377,42
Audiologist,2022-11,7931547.700000001,121952,100160,327
Chore Provider,2022-03,7930492.350000001,85625,10263,59
Physical Med & Rehabilitation,2021-08,7930046.779999999,245998,145958,863
Pulmonary Disease,2020-12,7929874.450000001,192128,111941,840
Clinical Child Psychologist,2023-08,7926015.930000002,102946,68329,84
Audiologist,2022-09,7924576.340000001,123134,98812,310
Medical PA,2020-01,7919064.949999999,142574,119257,265
Registered Nurse,2024-11,7917847.98,82862,37903,466
Preferred Provider Organization,2022-09,7915416.390000001,144769,83389,215
Pulmonary Disease,2021-11,7914392.850000001,187989,122105,848
PhD Medical Genetics,2023-09,7912514.199999999,42839,31445,21
Clinical Child Psychologist,2023-11,7911525.9399999995,103385,66825,80
Podiatrist,2022-01,7909052.869999999,258467,216077,1587
Home Delivered Meals,2021-02,7908646.359999999,425468,42306,113
Chore Provider,2022-05,7905165.899999999,82485,10032,58
Chiropractor,2020-05,7903583.060000002,357863,168576,2633
Audiologist,2023-10,7899403.8900000015,105914,85538,345
Physical Med & Rehabilitation,2023-11,7899373.589999999,260838,153062,832
Primary Care NP,2024-08,7899103.809999999,116831,89719,246
Preferred Provider Organization,2022-04,7898592.669999999,159481,85682,224
Infectious Disease,2023-05,7896545.08,203289,99958,836
Audiologist,2022-03,7890099.79,123844,99839,358
Health Educator,2022-05,7888892.23,93671,9245,75
Physical Med & Rehabilitation,2021-11,7885621.23,236877,141127,841
Pulmonary Disease,2021-06,7884421.15,194529,131186,866
Pediatric NP,2020-10,7881776.920000001,200798,169514,289
Medicare-Medicaid Hospital,2018-10,7874218.05,201560,162139,87
Physical Med & Rehabilitation,2021-10,7874150.969999999,241807,142316,848
Endocrinology,2023-04,7873712.810000004,243889,199892,700
Urology,2019-05,7872546.530000003,214277,186176,736
Clinical Child Psychologist,2023-06,7871960.560000001,100587,66374,84
Preferred Provider Organization,2022-02,7871224.37,167489,84920,212
Pediatric OT,2022-08,7871012.9399999995,113740,30874,268
Clinical Psychologist,2024-12,7870962.059999999,111381,74110,405
Rheumatology,2021-02,7869319.9,131564,110593,477
Registered Nurse,2020-11,7866523.42,95088,40290,443
Clinical Child Psychologist,2024-03,7865593.670000002,103372,63368,71
Health Educator,2022-07,7863043.32,85442,8768,69
Health Educator,2022-03,7857957.739999999,96533,9781,71
POS,2024-08,7850985.820000001,146700,99614,117
Nurse Anesthetist (CRNA),2022-03,7849919.730000001,126484,101425,388
Orthotic Fitter,2024-09,7849619.009999993,126792,93956,16
Endocrinology,2024-07,7849492.440000002,230478,190530,664
Home Delivered Meals,2022-01,7849004.870000001,402067,37130,112
Urology,2019-12,7846845.750000004,201504,177645,646
Clinical Child Psychologist,2022-11,7844858.889999999,100950,69224,75
Chore Provider,2021-08,7844438.04,88014,10253,56
Rehab Hosp,2022-11,7833375.380000002,139372,109422,38
Podiatrist,2024-01,7831918.039999999,311235,262414,1556
Health Educator,2021-08,7831412.9,100456,10124,69
Primary Care NP,2024-09,7828811.039999995,112322,87885,229
Special Hospital,2024-11,7828733.850000002,35186,27683,30
Physical Med & Rehabilitation,2024-07,7827141.439999998,257687,142114,813
Registered Nurse,2022-07,7817705.0600000005,86020,42606,395
Rheumatology,2021-01,7814543.139999999,139350,116004,504
Pediatric NP,2018-08,7813635.179999998,156152,137140,339
Nurse Anesthetist (CRNA),2023-10,7813568.529999999,111063,90282,373
Nursing Home,2024-12,7812302.13,193601,156732,380
Infectious Disease,2021-08,7811712.15,213333,97538,872
Podiatrist,2023-05,7808784.549999999,366714,306307,1699
Preferred Provider Organization,2021-08,7806828.769999999,185850,101851,228
Registered Nurse,2021-02,7806275.64,93388,38418,429
Home Delivered Meals,2021-10,7803118.73,417342,37938,110
POS,2024-10,7798859.479999999,147412,97489,111
Chore Provider,2021-03,7791645.06,99518,11079,52
Medical PA,2023-05,7791113.91,173082,144902,298
Health Educator,2022-06,7790969.169999999,90448,8960,72
Pediatric OT,2023-12,7790771.970000001,104353,32707,291
Endocrinology,2022-01,7788518.39,218843,174190,684
Pulmonary Disease,2021-07,7787995.729999999,192089,125231,866
Foster Care Agency,2024-12,7787353.169999998,47231,5937,55
Nurse Anesthetist (CRNA),2023-01,7786189.589999999,122119,97823,359
Medicare-Medicaid Hospital,2018-08,7784824.53,208851,163788,91
Health Educator,2023-02,7782906.6099999985,84387,8394,76
Rheumatology,2020-08,7780469.749999999,136559,108904,447
Health Educator,2020-11,7776735.460000001,95769,10464,71
Home Delivered Meals,2021-09,7776625.2700000005,408696,38936,114
Infectious Disease,2023-03,7772168.72,205743,99665,862
Health Educator,2021-04,7772088.17,101909,10335,67
Pulmonary Disease,2023-10,7770959.0600000005,186871,130430,810
Pediatric NP,2022-07,7764755.26,229083,167197,287
Physical Med & Rehabilitation,2021-09,7764617.179999999,240166,142511,871
Rehab Hosp,2023-12,7763905.010000002,131164,102036,43
Special Hospital,2024-08,7763276.610000001,51184,40031,38
Chiropractor,2018-11,7762964.559999999,372914,196256,2788
Health Educator,2022-04,7761475.329999999,93646,9388,74
Rehabilitation Hospital,2020-04,7760340.260000001,202363,153319,39
Audiologist,2023-02,7758043.630000001,125452,102018,334
Rehab Hosp,2022-10,7751932.599999997,137358,108356,38
Primary Care NP,2024-03,7751618.06,116223,89153,244
Otolaryngology,2018-02,7745044.860000002,173994,149122,745
Pediatric NP,2018-03,7740892.71,147250,127814,390
Transportation Broker,2020-04,7739290.390000001,467510,82343,33
Rheumatology,2020-01,7739181.14,155504,128043,526
Otolaryngology,2018-06,7737726.160000001,170664,146220,717
Student,2021-10,7737289.310000001,208777,156399,1198
Nurse Anesthetist (CRNA),2022-08,7736496.060000001,118484,95226,381
Mentally Retarded ICF,2024-07,7736493.87,21745,2559,26
Home Delivered Meals,2020-04,7735427.920000002,413229,37153,91
Student,2021-11,7733252.05,210627,156043,1186
Health Educator,2021-01,7719337.93,98097,10306,68
Primary Care NP,2024-05,7718940.409999997,114176,88723,249
PhD Medical Genetics,2023-08,7717746.2,47674,34667,24
Rheumatology,2020-11,7717287.789999998,132016,110515,469
Pediatric NP,2018-12,7716401.460000002,143512,124617,327
Foster Care Agency,2018-08,7714486.6,60005,10230,79
Clinical Child Psychologist,2023-02,7712137.49,96670,62443,79
Preferred Provider Organization,2021-03,7705389.959999999,169968,89996,234
Physical Med & Rehabilitation,2023-09,7702026.550000001,251838,150237,847
Health Educator,2021-10,7700274.62,100123,9636,70
Rehab Hosp,2023-02,7699510.130000001,136329,105463,43
Clinical Child Psychologist,2022-08,7698424.779999998,99847,66165,83
Pediatric OT,2019-03,7697994.080000001,98294,22315,197
Urology,2019-11,7696319.2299999995,208072,183132,674
Chore Provider,2021-10,7693446.959999999,86795,10433,55
Foster Care Agency,2018-03,7690013.589999999,64477,12010,77
Rehab Hosp,2022-03,7688101.199999999,145752,115422,37
Orthotic Fitter,2022-11,7687610.650000007,108486,84821,16
Physical Med & Rehabilitation,2021-04,7684803.819999999,233267,134747,895
Student,2024-11,7684471.569999999,189780,158989,1473
Endocrinology,2022-09,7679871.1899999995,246555,199738,671
Health Educator,2022-09,7679850.83,85258,8602,68
Podiatrist,2024-07,7677044.12,268196,228483,1445
Physical Med & Rehabilitation,2024-08,7674560.000000001,255952,142964,766
Orthotic Fitter,2024-05,7674130.06,117578,90283,15
Critical Access Hospital,2024-08,7673677.070000003,108020,91528,50
Infectious Disease,2023-08,7670559.470000001,187530,92702,837
Pulmonary Disease,2020-07,7667281.970000001,195893,116888,800
Psychiatric NP,2021-06,7666328.210000002,141139,101881,920
Foster Care Agency,2018-01,7665807.9,66917,11886,78
Endocrinology,2023-12,7665240.27,248827,203466,622
Pulmonary Disease,2022-08,7662855.400000001,191789,130793,853
Emergency Response (Vehicle),2024-08,7658170.8500000015,179441,139320,73
Otolaryngology,2019-02,7657998.419999999,176791,152266,741
Physical Med & Rehabilitation,2021-05,7657824.079999999,232616,134547,874
Audiologist,2023-09,7657130.350000002,112028,91214,330
Medical PA,2022-11,7656777.899999999,177540,149737,284
Emergency Response (Vehicle),2023-05,7656754.41,182661,132546,71
Medicare-Medicaid Hospital,2019-04,7655718.8500000015,201456,158158,88
Medicare-Medicaid Hospital,2019-09,7652228.540000002,193055,154879,93
Occupational Therapy Assistant,2020-12,7649279.11,75035,19886,118
Clinical Child Psychologist,2022-10,7648514.460000003,99858,69430,82
Rheumatology,2022-07,7648379.019999999,125232,103092,482
Nephrology,2018-08,7647225.080000002,237672,158455,1264
Chore Provider,2022-06,7645710.51,83780,8701,57
Foster Care Agency,2018-10,7641824.750000001,62562,10563,79
Chore Provider,2021-09,7639213.779999999,85484,10169,55
Chiropractor,2018-07,7638845.919999999,393407,207066,2951
Emergency Response (Vehicle),2024-05,7637675.110000001,179317,137059,74
Student,2021-09,7636365.180000001,211211,155814,1163
Nurse Anesthetist (CRNA),2023-11,7633871.089999999,107606,86861,355
Pulmonary Disease,2022-05,7633180.389999999,186998,124305,837
Registered Nurse,2022-06,7627489.209999998,92118,46115,418
Nurse Anesthetist (CRNA),2023-06,7625362.449999998,113826,91418,375
Custodial Care Facility,2022-04,7625173.669999999,69278,7000,53
Nephrology,2018-10,7623439.380000001,242042,161756,1266
Primary Care NP,2024-01,7621503.229999998,116361,88844,252
Emergency Response (Vehicle),2023-06,7612084.260000001,180860,134385,72
Medicare-Medicaid Hospital,2019-05,7609927.750000001,201774,160233,91
Otolaryngology,2018-07,7608591.0299999975,170897,145630,746
Physical Med & Rehabilitation,2022-07,7607479.95,237025,141905,824
Medicare-Medicaid Hospital,2020-10,7605900.249999999,196298,157795,90
Clinical Child Psychologist,2024-04,7602942.150000001,94839,61460,77
Podiatrist,2024-05,7601966.709999999,291287,244751,1515
Emergency Response (Vehicle),2024-09,7597266.79,178789,139891,74
Health Educator,2021-09,7595467.359999999,95713,9708,66
Chore Provider,2022-04,7589894.95,81235,9564,59
Nurse Anesthetist (CRNA),2024-02,7588431.030000001,107664,86148,364
Physical Med & Rehabilitation,2022-02,7587022.96,221045,132226,829
Nurse Anesthetist (CRNA),2024-05,7586950.080000001,100456,80754,362
Podiatrist,2023-08,7586397.75,355444,300236,1706
Student,2021-12,7585565.899999999,184465,139140,1212
Endocrinology,2023-07,7585136.959999998,247963,202632,675
Student,2022-02,7584422.119999997,194693,144968,1135
Rehab Hosp,2022-08,7582938.53,135944,109194,39
Urology,2019-03,7576282.320000002,203931,176432,744
Physical Med & Rehabilitation,2021-07,7575387.92,234930,139019,870
Student,2022-01,7573996.259999999,188439,143417,1204
Medicare-Medicaid Hospital,2021-01,7571317.609999999,200437,160894,91
Infectious Disease,2023-10,7571154.3599999985,186845,93227,835
Pediatric NP,2021-02,7566100.32,167559,145678,241
Custodial Care Facility,2021-10,7561457.15,71564,6990,51
Pediatric NP,2018-05,7558506.449999998,141728,122393,391
Health Educator,2021-12,7555307.760000001,95275,9136,67
Orthotic Fitter,2022-03,7555210.519999992,128903,105528,12
Otolaryngology,2019-07,7548311.67,177156,152608,772
Occupational Therapy Assistant,2021-02,7545930.41,78512,21135,126
Pulmonary Disease,2023-08,7545219.730000001,190050,131330,828
Pediatric OT,2021-06,7544912.829999999,128044,25119,240
Radiology Center,2018-10,7544856.03,228269,189705,224
Nurse Anesthetist (CRNA),2024-03,7541944.84,105872,84356,359
Chore Provider,2021-01,7537601.42,98277,10400,53
Endocrinology,2022-05,7534768.24,234744,192455,703
Radiology Center,2020-03,7534657.43,179312,146157,198
Medicare-Medicaid Hospital,2020-07,7533244.739999999,184400,146106,91
Endocrinology,2024-08,7530632.539999999,230688,192323,645
Otolaryngology,2018-10,7526524.4,189770,162894,748
Clinical Child Psychologist,2022-09,7519214.899999999,99262,68038,77
Podiatrist,2024-08,7518332.919999999,270940,234619,1387
Otolaryngology,2019-08,7518284.349999997,177919,154163,767
Rehab Hosp,2022-12,7516739.159999998,129341,103205,39
Allergy & Immunology,2020-05,7515423.800000002,210070,153216,444
PhD Medical Genetics,2023-12,7515136.889999999,39743,29005,21
Pediatric OT,2022-05,7513012.209999999,111014,28217,273
Clinical Child Psychologist,2023-04,7510895.669999998,92426,62964,84
Urology,2019-04,7506702.95,209640,181352,770
Emergency Response (Vehicle),2024-06,7504521.299999999,178024,135784,73
Eyewear Supplier,2018-06,7502950.54,542376,474013,766
Student,2021-04,7502812.31,195383,149356,1110
Audiologist,2024-06,7500824.15,93313,73317,312
Medicare-Medicaid Hospital,2019-11,7498950.8,184096,148619,91
Medical PA,2023-08,7497062.840000001,168914,142544,294
Preferred Provider Organization,2021-09,7492989.13,177526,98958,221
Emergency Response (Vehicle),2024-07,7490205.010000002,179729,137746,73
Chiropractor,2018-06,7485875.07,387232,204837,2922
Emergency Response (Vehicle),2023-11,7485753.770000001,181104,136688,72
Endocrinology,2022-06,7479956.129999999,233939,190988,697
Emergency Response (Vehicle),2024-03,7478566.58,171769,133429,75
Chore Provider,2021-02,7477982.449999999,85855,11032,52
Pediatric OT,2022-10,7473374.560000001,108450,30434,284
Home Delivered Meals,2022-02,7473154.48,376828,37328,118
Infectious Disease,2021-09,7471833.28,203362,91156,861
Medical PA,2022-10,7469859.76,171558,145071,288
Physical Med & Rehabilitation,2022-12,7469057.529999999,235797,129617,808
Marriage & Family Therapist,2018-05,7468959.62,124916,52009,911
Occupational Therapy Assistant,2020-09,7467274.319999999,73755,17747,110
Pediatric OT,2022-04,7464003.77,115776,28149,274
Primary Care NP,2023-12,7462084.41,112654,86883,232
Radiology Center,2018-12,7457143.029999998,196622,162742,201
Physical Med & Rehabilitation,2021-12,7455839.870000002,229635,137588,805
Pulmonary Disease,2020-10,7454795.64,193823,126672,848
PhD Medical Genetics,2024-09,7454100.74,32711,23458,20
Otolaryngology,2021-01,7451009.100000003,157353,137445,738
Emergency Response (Vehicle),2023-04,7450194.010000002,185721,132240,71
Endocrinology,2022-12,7449832.090000001,220648,181182,641
Medicare-Medicaid Hospital,2019-02,7449223.180000002,190323,152044,90
Podiatrist,2021-04,7449139.379999999,285476,242270,1777
Orthotic Fitter,2023-03,7446519.799999985,110255,84525,16
Audiologist,2024-02,7443433.99,99121,77726,331
Home Delivered Meals,2020-03,7437956.299999999,407159,37987,94
Medicare-Medicaid Hospital,2018-07,7437248.9799999995,197099,156423,90
Foster Care Agency,2018-11,7431050.79,60125,10305,82
Oral & Maxillofacial Surgery,2021-04,7430000.039999995,119523,94292,99
Nephrology,2018-05,7429917.930000001,232789,153948,1269
Foster Care Agency,2018-07,7428533.03,60774,10068,76
Rehab Hosp,2024-11,7427164.429999999,105435,77890,45
Otolaryngology,2020-10,7422330.140000001,168400,147519,703
Nurse Anesthetist (CRNA),2022-11,7420645.03,115713,92629,348
Emergency Response (Vehicle),2023-10,7420251.6,171778,134297,69
Infectious Disease,2021-01,7418594.179999999,215248,90807,866
Psychiatric NP,2021-04,7415998.4799999995,143073,101374,884
Nurse Anesthetist (CRNA),2024-04,7415538.59,102460,82373,363
Primary Care NP,2024-04,7414568.809999999,116918,89231,257
Podiatrist,2021-06,7409582.34,298292,255193,1781
Nurse Anesthetist (CRNA),2024-08,7408382.240000002,96675,81170,337
Medical PA,2022-09,7406935.499999999,159951,136442,270
Chore Provider,2021-07,7405152.63,88038,9245,57
Orthotic Fitter,2022-12,7396597.360000001,104075,81011,15
POS,2024-07,7396512.95,139661,91711,118
Orthotic Fitter,2024-08,7393778.150000008,119928,90537,15
Physical Med & Rehabilitation,2023-07,7390933.109999999,244781,142027,858
Health Educator,2021-11,7390225.23,95967,9372,63
Anesthesiology,2024-12,7390175.009999999,140916,128133,272
Chore Provider,2021-06,7384960.910000001,91026,10057,57
Emergency Response (Vehicle),2024-01,7384022.390000001,170938,133633,73
Occupational Therapy Assistant,2019-10,7379662.39,80353,19082,107
Registered Nurse,2020-10,7378073.569999999,95608,41403,464
Medical PA,2022-08,7371056.209999999,163803,140180,278
Student,2021-06,7366281.039999998,182406,150232,1114
Custodial Care Facility,2021-04,7364761.3100000005,74533,7591,52
Endocrinology,2021-10,7364474.769999998,230638,187367,709
Chore Provider,2020-10,7363650.959999999,102645,10418,51
Chore Provider,2021-11,7361690.95,85870,9464,57
Health Educator,2021-05,7359463.910000001,97681,9824,64
Pulmonary Disease,2022-12,7358484.0600000005,177576,113279,794
Clinical Child Psychologist,2022-01,7357565.380000001,101129,65011,78
Podiatrist,2020-01,7355346.91,319597,265017,1817
Pulmonary Disease,2023-02,7355296.07,184036,123853,806
Pediatric OT,2022-11,7355070.5600000005,104865,30342,282
Nurse Anesthetist (CRNA),2023-09,7354918.109999999,106373,85318,351
Emergency Response (Vehicle),2023-09,7351504.790000001,171310,134918,69
Psychiatric NP,2021-05,7350989.72,133273,96156,890
Emergency Response (Vehicle),2024-04,7349196.069999999,181268,134501,73
Oral & Maxillofacial Surgery,2021-06,7346163.5299999975,116327,93242,106
Health Educator,2021-06,7344965.25,94537,10172,65
Pediatric NP,2024-06,7342983.7200000025,207302,178241,293
Emergency Response (Vehicle),2023-12,7340934.22,172745,136089,71
Nurse Anesthetist (CRNA),2021-08,7340761.630000002,117620,93999,376
Foster Care Agency,2018-04,7339527.91,67290,11864,78
Infectious Disease,2024-04,7338382.99,182650,90986,795
Marriage & Family Therapist,2018-03,7338021.17,117675,49370,823
Chiropractor,2018-02,7337052.17,380890,196495,2895
Podiatrist,2022-08,7334855.769999997,312250,264621,1728
POS,2023-03,7333910.32,182114,118394,143
Infectious Disease,2024-05,7332642.949999998,180796,91393,779
Radiology Center,2018-11,7332003.410000003,197771,162307,194
Rehab Hosp,2022-05,7328841.8100000005,139277,112121,38
Pulmonary Disease,2020-08,7322088.000000001,188314,114542,796
Radiology Center,2024-11,7321587.35,166332,138679,174
Medicare-Medicaid Hospital,2019-08,7320881.129999998,194211,154560,90
Nurse Anesthetist (CRNA),2021-09,7320274.460000001,115089,91831,353
Pulmonary Disease,2022-11,7317632.19,180740,122899,845
Pediatric OT,2021-03,7317072.45,121954,22831,238
Pediatric NP,2020-12,7313122.489999999,176755,152042,237
Audiologist,2024-01,7312743.790000002,100980,79895,338
Emergency Response (Vehicle),2024-10,7312284.840000001,164939,126255,70
Mentally Retarded ICF,2024-05,7308728.739999999,18878,2466,24
Clinical Child Psychologist,2022-05,7304582.63,100194,65338,86
Home Delivered Meals,2019-12,7303263.710000001,396931,35618,94
Medical PA,2023-10,7302407.260000001,161464,137170,281
Mentally Retarded ICF,2024-08,7295787.470000001,20584,2656,24
Medical PA,2023-04,7295632.269999999,162117,135486,277
Clinical Child Psychologist,2024-10,7288058.54,96781,64875,67
Orthotic Fitter,2022-08,7286553.750000002,107237,84077,14
Urology,2019-07,7285991.969999999,205762,177339,711
Pulmonary Disease,2022-06,7283501.390000001,184927,123307,832
Pulmonary Disease,2022-10,7283039.870000001,184141,124977,848
Chiropractor,2018-12,7282547.090000001,332917,174595,2580
Pediatric NP,2018-11,7282514.4399999995,149271,131348,335
Podiatrist,2023-06,7278601.63,351844,295181,1691
Mentally Retarded ICF,2024-10,7278536.949999999,17719,2407,23
Custodial Care Facility,2021-08,7276881.9,73528,7398,51
Nurse Anesthetist (CRNA),2023-04,7275999.180000001,111949,90497,368
Nurse Anesthetist (CRNA),2021-06,7272651.950000001,116650,90555,392
Rehab Hosp,2022-09,7271616.25,131384,105547,37
Foster Care Agency,2018-06,7271116.6,63501,10723,74
