billing_npi,state,specialty,paid_2023,paid_2024,growth,peers,z_growth
1730876137,MI,Dental Clinic,638.57,267710.51,418.23439873467277,276,15.915114727313913
1033990080,FL,Optometrist,30.0,7909.52,262.65066666666667,472,15.899121218424371
1063538585,NC,Pediatrics,35.0,6808.4400000000005,193.52685714285715,278,15.766694442817435
1720020183,SC,Other,98.25,8527.550000000001,85.79440203562342,703,15.757571966796307
1164491585,NJ,Pediatrics,1285.45,80435.72000000002,61.57397798436346,275,15.718550590177697
1811341878,NY,Internal Medicine,63.72,14092.640000000003,220.16509730069058,3262,15.714930899784543
1356001440,CA,Optometrist,19.18,4998.7,259.6204379562044,894,15.647553223185525
1790409498,KY,Optometrist,222.42,32204.5,143.79138566675658,393,15.553750991994548
1619046653,NY,Nephrology,15.29,1297.27,83.84434270765206,347,15.408807068947914
1982208336,CA,Adult Day Care,2818.88,1027920.53,363.6556540186173,241,15.308993992694763
1720045941,NY,Urology,1.25,300.53,239.42399999999998,249,15.306034536270081
1336252048,CA,DME Supplier,410.84,103368.11,250.60186447278747,443,15.289946900835341
1740359983,NY,DME Supplier,408.75,41389.29,100.25820183486239,268,15.26777832207745
1508283821,IL,Other,42.33,3920.62,91.62036380817388,4835,15.230258314017957
1952760290,NC,Federally Qualified Health Ctr,110.0,44112.52,400.0229090909091,258,15.22114658566681
1316192552,NY,Student,11.82,1219.91,102.20727580372251,847,15.201220568563233
1154348951,IL,Family Medicine,121.47,8175.700000000001,66.30633078126287,1633,15.180151493924658
1962132761,NJ,Other,220.0,30305.0,136.75,1815,15.088417166186108
1659143923,NE,Other,3293.29,291229.04000000004,87.43103401158113,271,15.059830149472948
1154035830,CO,Family Medicine,0.14,892.31,6372.642857142856,227,14.993421102579315
1639870850,TX,DME Supplier,1471.33,111639.51000000002,74.87659464566075,351,14.968892453947548
1750678017,CA,Pediatrics,1093.73,136131.30000000002,123.46517879184078,486,14.877458215537986
1558017087,TX,Pediatrics,231.75,19354.77,82.5157281553398,695,14.849959300971891
1356114318,MT,Other,251.2,17544.000000000004,68.84076433121021,307,14.796446020456063
1194483867,NV,Other,1031.29,376583.80000000005,364.1580059924949,556,14.71287630225677
1043904378,TX,Speech-Language Pathology Asst,691.75,201272.45,289.96125767979765,312,14.627445015686105
1639815186,CA,Community Health Center,37.5,13395.14,356.20373333333333,215,14.588889034854784
1104557545,FL,Speech-Language Pathology Asst,4099.46,305876.79,73.61392232147648,603,14.56077923074121
1871914291,CA,Other,5.86,4590.07,782.2883959044368,5587,14.543501409998697
1598248023,FL,Dentist,515.35,77606.43000000001,149.5897545357524,233,14.48643116069234
1225652605,NY,Student,22.47,2209.7,97.34000890075656,847,14.467235804665414
1932661873,IL,Internal Medicine,587.49,31181.75,52.07622257400126,2159,14.465232677500534
1821235854,FL,Physical Therapist,320.0,28023.800000000003,86.574375,245,14.462165832469326
1063102762,TX,Pediatrics,518.7,42178.46,80.31571235781762,695,14.452040179845541
1902514904,KY,Rural Health,806.71,35762.05,43.33073843140658,217,14.425127808167822
1174396055,MA,Dental Clinic,1773.0,276635.76,155.02693739424706,216,14.41828305110457
1669554531,IL,Obstetrics & Gynecology,143.0,12817.09,88.63,481,14.409937790399388
1104899426,IN,Optometrist,596.9399999999999,50149.58,83.01108989178142,329,14.40686409222056
1972294213,TX,Family Medicine,582.32,39691.009999999995,67.16013532078581,598,14.397675234160824
1164411468,KY,Other,3086.38,441399.82999999996,142.015386958184,891,14.332987914230442
1730545815,OH,End-Stage Renal Disease,122.34,11585.15,93.69633807421938,219,14.253030167687585
1508387929,PA,Specialist,51.27,1460.08,27.478252389311486,317,14.228635033951369
1932114303,TX,Home Health Agency,18618.3,492933.11,25.475731404048705,779,14.215785952681784
1306225701,TX,Internal Medicine,1656.69,72472.88,42.74558909633063,391,14.213023394182793
1356385272,CT,Optometrist,18.0,3970.9000000000005,219.60555555555558,205,14.195297494945306
1770897712,PA,Physical Therapist,212.94,16736.01,77.59495632572555,340,14.131815123120901
1770685299,"",Other,15.18,595.96,38.25955204216074,652,14.099807436143479
1992905129,WV,Other,220.0,134951.40000000002,612.4154545454546,423,14.09448753891901
1932858628,CA,Emergency Medicine,4.46,627.5799999999999,139.71300448430492,260,14.034744029007394
1932719895,NY,Optometrist,983.53,84108.55,84.51701524101959,849,14.030916581748158
1659776474,HI,Other,140.52,9720.0,68.17164816396242,242,14.013916613538367
1316128390,TX,Home Health Agency,48512.19,1266917.87,25.115454074532607,779,14.012555873923642
1083019822,CA,Other,75.38,56675.93,750.8695940567791,5587,13.957484815268774
1073042727,IL,Pediatrics,2153.4700000000003,69141.05,31.106809010573627,1058,13.92450147088364
1417655465,IL,Hospitalist,2335.2000000000003,90224.85,37.63688335046248,285,13.91993658201407
1871184465,IL,DME Supplier,74.47,43104.30999999999,577.814421914865,197,13.90190775839075
1679831820,IL,Internal Medicine,83.14,4245.38,50.063026220832334,2159,13.899794117318379
1477262806,OH,Mental Health Counselor,34074.5,8451231.479999999,247.0221714185094,206,13.875025093162703
